Application Status,Merit Score,ssc_obtained,Terminal Degree,Offered
Application Fee Received,683,677,663,No
Application Fee Received,866,725,866,No
Application Fee Received,841,852,841,No
Application Fee Received,700,945,700,No
Application Fee Received,809,815,809,No
Application Fee Received,908,753,908,Yes
Admission Fee Challan Received,512,679,517,No
Application Fee Received,841,772,841,No
Application Fee Received,747,705,747,No
Application Fee Received,777,930,782,No
Application Fee Received,702,804,702,No
Application Fee Received,792.5,731,797,No
Application Fee Received,772,522,772,No
Application Fee Received,867,820,867,No
Application Fee Received,796,723,796,No
Application Fee Received,758,781,758,No
Application Fee Received,542,676,542,No
Application Fee Received,784,784,784,No
Application Fee Received,544,554,544,No
Application Fee Received,819,838,819,No
Application Fee Received,764,724,764,No
Application Fee Received,575,767,575,No
Application Fee Received,829.423,750,814,No
Application Fee Received,762,830,762,No
Application Fee Received,740,739,745,No
Application Fee Received,937,848,957,Yes
Application Fee Received,743,739,753,No
Application Fee Received,835,844,815,No
Application Fee Received,776,785,776,No
Application Fee Received,853,859,853,No
Application Fee Received,744,870,759,No
Application Fee Received,844,926,844,No
Application Fee Received,789,810,789,No
Application Fee Received,611,730,611,No
Application Fee Received,845,867,845,No
Application Fee Received,936,784,936,Yes
Application Fee Received,862,859,862,No
Application Fee Received,578,712,578,No
Application Fee Received,898,866,898,No
Application Fee Received,824,823,824,No
Application Fee Received,755,837,755,No
Application Fee Received,838,791,838,No
Application Fee Received,750,814,750,No
Application Fee Received,652,654,652,No
Application Fee Received,800,857,800,No
Application Fee Received,846,736,846,No
Application Fee Received,774,820,774,No
Application Fee Received,875,929,880,No
Application Fee Received,959,955,959,Yes
Application Fee Received,955,913,955,Yes
