Application Status,Merit Score,Domicile,Province,Admission Test,SSC,Terminal Degree,Optional Subject 1,Optional Subject 2,Optional Subject 3,Optional Subject 4,Optional Subject 5,Optional Subject 6,hsc_opt_6_total,Document Verified,English Marks,Offered
Application Fee Received,786,Bahawalpur,Punjab,47,666,690,101,40,129,168,96,0,0,0,101,No
Application Fee Received,689,Bahawalpur,Punjab,53,684,576,105,77,69,39,38,118,200,0,118,No
Application Fee Received,524,Bahawalpur,Punjab,0,765,493,36,0,0,0,0,0,0,0,36,No
Application Fee Received,719,Bahawalpur,Punjab,0,667,724,0,0,0,0,0,0,0,0,0,No
Admission Fee Challan Received,1091,Bahawalpur,Punjab,88,868,942,159,184,170,188,0,0,0,1,159,Yes
Challan Printed,1098,Bahawalpur,Punjab,0,914,924,183,179,162,41,161,45,50,0,179,No
Application Fee Received,1077,Bahawalpur,Punjab,48,815,907,175,45,146,178,173,0,0,1,175,Yes
Application Fee Received,656,Bahawalpur,Punjab,0,653,560,101,115,113,69,0,0,0,0,101,No
Application Fee Received,1018,Bahawalpur,Punjab,52,935,862,161,174,149,43,150,0,0,0,161,No
Application Fee Received,798,Bahawalpur,Punjab,42,772,688,115,29,38,145,129,118,200,0,115,No
Application Fee Received,934,Bahawalpur,Punjab,52,808,800,142,139,132,45,138,44,50,0,139,No
Application Fee Received,807,Bahawalpur,Punjab,39,839,690,122,46,38,101,110,124,200,0,122,No
Application Fee Received,534,Bahawalpur,Punjab,54,765,474,65,71,128,69,30,18,50,0,65,No
Application Fee Received,790,Bahawalpur,Punjab,36,657,689,106,26,119,161,106,0,0,0,106,No
Application Fee Received,645,Bahawalpur,Punjab,40,637,557,86,93,105,32,86,31,50,0,93,No
Application Fee Received,809,Bahawalpur,Punjab,50,749,686,122,128,93,45,128,44,50,0,128,No
Challan Printed,558,Bahawalpur,Punjab,0,515,578,115,36,99,29,0,0,0,0,0,No
Challan Printed,919,Bahawalpur,Punjab,0,798,776,148,155,151,38,126,35,50,0,148,No
Application Fee Received,947,Bahawalpur,Punjab,61,838,794,158,127,149,134,0,0,0,0,158,No
Application Fee Received,905,Bahawalpur,Punjab,59,857,770,140,0,0,0,0,0,0,1,140,No
Application Fee Received,743,Bahawalpur,Punjab,61,840,624,124,77,123,115,0,0,0,1,124,No
Application Fee Received,807,Bahawalpur,Punjab,0,833,685,116,40,99,132,110,42,50,0,132,No
Application Fee Received,844,Bahawalpur,Punjab,0,726,737,122,36,37,153,149,127,200,0,122,No
Application Fee Received,924,Bahawalpur,Punjab,33,840,796,140,152,125,133,46,45,50,1,133,No
Challan Printed,650,Bahawalpur,Punjab,0,597,660,0,0,0,0,0,0,0,0,0,No
Application Fee Received,824,Bahawalpur,Punjab,44,778,684,145,94,88,114,38,46,50,0,145,No
Application Fee Received,719,Bahawalpur,Punjab,51,809,623,101,0,0,0,0,0,0,0,101,No
Challan Printed,1001,Bahawalpur,Punjab,46,799,858,155,47,140,148,165,45,50,0,148,No
Challan Printed,697,Bahawalpur,Punjab,41,832,597,105,106,41,89,41,97,200,0,105,No
Application Fee Received,760,Bahawalpur,Punjab,0,697,635,130,86,106,38,47,100,200,0,130,No
Application Fee Received,619,Bahawalpur,Punjab,0,639,542,82,38,82,41,67,109,200,0,82,No
Challan Printed,655,Bahawalpur,Punjab,46,673,571,89,44,35,79,107,97,200,0,89,No
Challan Printed,1116,Bahawalpur,Punjab,64,877,949,185,172,180,42,165,46,50,0,172,No
Application Fee Received,883,Bahawalpur,Punjab,50,632,764,124,125,48,148,40,136,200,0,124,No
Application Fee Received,740,Bahawalpur,Punjab,27,687,648,97,80,157,104,41,29,50,0,97,No
Admission Fee Challan Received,1048,Bahawalpur,Punjab,54,960,903,150,42,44,173,170,173,200,1,150,Yes
Application Fee Received,811,Bahawalpur,Punjab,61,786,666,150,123,92,27,134,0,0,0,150,No
Application Fee Received,788,Bahawalpur,Punjab,52,668,793,115,141,154,0,0,0,0,0,0,No
Application Fee Received,740,Bahawalpur,Punjab,40,731,654,91,47,38,110,112,112,200,0,91,No
Application Fee Received,726,Bahawalpur,Punjab,45,638,588,143,33,96,119,56,0,0,0,143,No
Application Fee Received,749,Bahawalpur,Punjab,0,729,632,127,90,42,72,50,106,200,0,127,No
Challan Printed,617,Bahawalpur,Punjab,0,681,622,117,81,125,39,39,0,0,0,0,No
Application Fee Received,839,Bahawalpur,Punjab,55,648,713,131,126,143,38,119,41,50,0,131,No
Challan Printed,857.029,Bahawalpur,Punjab,74,502,753,80,80,80,60,70,89,100,0,89,No
Admission Fee Challan Received,957,Bahawalpur,Punjab,0,940,816,162,146,93,35,192,44,50,1,146,Yes
Application Fee Received,804,Bahawalpur,Punjab,0,800,809,149,148,139,0,0,0,0,0,0,No
Challan Printed,556,Bahawalpur,Punjab,0,809,561,88,0,78,0,94,0,0,0,0,No
Application Fee Received,700,Bahawalpur,Punjab,0,669,563,142,39,87,57,81,33,50,0,142,No
Application Fee Received,875,Bahawalpur,Punjab,54,781,733,152,40,33,96,138,140,200,0,152,No
Application Fee Received,802,Bahawalpur,Punjab,0,609,727,85,133,157,33,162,41,50,0,85,No
Challan Printed,877,Bahawalpur,Punjab,44,843,736,146,138,132,112,44,34,50,0,146,No
Admission Fee Challan Received,993,Bahawalpur,Punjab,47,857,841,157,157,153,157,0,0,0,1,157,Yes
Application Fee Received,911,Bahawalpur,Punjab,0,767,752,142,129,164,41,42,0,0,1,164,No
Challan Printed,711,Bahawalpur,Punjab,41,725,613,125,103,78,0,124,0,0,0,103,No
Application Fee Received,666,Bahawalpur,Punjab,48,723,581,95,99,79,105,42,30,50,0,95,No
Application Fee Received,775,Bahawalpur,Punjab,50,676,649,131,155,61,42,113,36,50,0,131,No
Application Fee Received,532,Bahawalpur,Punjab,49,697,537,0,0,0,0,0,0,0,0,0,No
Admission Fee Challan Received,972,Bahawalpur,Punjab,55,761,824,159,41,148,41,127,153,200,1,153,Yes
Application Fee Received,831,Bahawalpur,Punjab,61,769,684,127,42,115,107,132,33,50,0,132,No
Challan Printed,960,Bahawalpur,Punjab,56,804,825,140,147,41,170,153,0,0,0,140,No
Application Fee Received,898,Bahawalpur,Punjab,50,736,775,128,165,38,130,0,155,200,0,128,No
Challan Printed,525,Bahawalpur,Punjab,44,553,448,68,86,82,73,0,0,0,0,82,No
Application Fee Received,595,Bahawalpur,Punjab,0,681,529,81,78,133,71,0,0,0,0,71,No
Application Fee Received,806,Bahawalpur,Punjab,0,711,652,111,77,117,159,0,0,0,0,159,No
Application Fee Received,869,Bahawalpur,Punjab,0,689,711,163,29,153,99,110,38,50,0,163,No
Application Received,720,Bahawalpur,Punjab,47,637,644,39,41,51,25,56,76,200,0,76,No
Admission Fee Challan Received,1157,Bahawalpur,Punjab,87,941,982,185,189,188,0,182,0,0,1,185,Yes
Application Fee Received,877,Bahawalpur,Punjab,44,614,751,142,131,44,126,131,36,50,0,131,No
Application Fee Received,622,Bahawalpur,Punjab,45,608,554,80,35,91,73,104,45,50,0,73,No
Application Fee Received,963,Bahawalpur,Punjab,68,887,833,163,163,150,33,135,46,50,1,135,Yes
Application Fee Received,615,Bahawalpur,Punjab,0,502,536,102,61,84,41,105,44,50,0,84,No
Application Fee Received,734,Bahawalpur,Punjab,0,651,611,128,77,114,132,0,0,0,0,128,No
Application Fee Received,1057,Bahawalpur,Punjab,0,620,892,161,45,146,43,162,175,200,0,175,No
Application Fee Received,808,Bahawalpur,Punjab,59,874,689,140,44,117,124,105,44,50,0,124,No
Challan Printed,1052,Bahawalpur,Punjab,61,896,880,177,31,42,145,177,163,200,0,177,No
Application Fee Received,587,Bahawalpur,Punjab,0,711,495,97,19,33,78,97,72,200,0,97,No
Application Fee Received,812,Bahawalpur,Punjab,48,747,668,121,149,98,27,110,40,50,0,149,No
Application Fee Received,705,Bahawalpur,Punjab,47,651,599,111,106,84,113,0,0,0,0,111,No
Application Fee Received,726,Bahawalpur,Punjab,0,691,640,91,128,97,147,38,40,50,0,91,No
Application Fee Received,581,Bahawalpur,Punjab,0,653,502,84,108,63,0,89,0,0,0,84,No
Application Fee Received,782,Bahawalpur,Punjab,50,697,672,115,99,139,36,118,42,50,0,115,No
Application Fee Received,689,Bahawalpur,Punjab,0,714,608,81,107,33,0,123,0,0,0,81,No
Application Fee Received,1087,Bahawalpur,Punjab,57,956,905,187,151,160,173,0,0,0,0,187,No
Admission Fee Challan Printed,0,Bahawalpur,Punjab,87,961,982,174,189,183,46,184,48,50,1,189,Yes
Application Fee Received,727,Bahawalpur,Punjab,51,732,682,120,126,118,38,159,33,50,0,0,No
Application Fee Received,754,Bahawalpur,Punjab,100,661,648,116,111,109,36,114,35,50,0,111,No
Application Fee Received,791,Bahawalpur,Punjab,50,651,702,94,134,108,171,0,0,0,0,94,No
Application Fee Received,608,Bahawalpur,Punjab,50,549,522,91,67,128,87,30,31,50,0,91,No
Application Fee Received,751,Bahawalpur,Punjab,0,721,642,114,98,91,133,39,41,50,0,114,No
Application Fee Received,810,Bahawalpur,Punjab,60,819,694,114,129,129,121,45,37,50,0,121,No
Application Fee Received,764,Bahawalpur,Punjab,64,750,660,109,118,130,100,41,40,50,0,109,No
Application Fee Received,696,Bahawalpur,Punjab,66,723,691,0,0,0,0,0,0,0,0,0,No
Application Fee Received,806,Bahawalpur,Punjab,51,704,660,93,151,44,107,101,40,50,0,0,No
Application Fee Received,595,Bahawalpur,Punjab,0,681,529,81,78,133,71,0,0,0,0,0,No
Application Fee Received,1018,Bahawalpur,Punjab,52,935,862,161,174,149,43,150,0,0,0,0,No
Application Fee Received,656,Bahawalpur,Punjab,0,653,560,101,115,113,69,0,0,0,0,0,No
Application Fee Received,713,Bahawalpur,Punjab,43,718,596,122,0,0,0,0,0,0,0,0,No
Challan Printed,558,Bahawalpur,Punjab,0,515,578,115,36,99,29,0,0,0,0,0,No
Challan Printed,0,OPEN,,0,0,0,,,,,,,,0,,No
Application Fee Received,921,Bahawalpur,Punjab,62,841,771,141,142,137,155,36,42,50,1,155,No
Application Fee Received,731,Bahawalpur,Punjab,0,751,618,97,39,75,133,121,43,50,0,133,No
Application Fee Received,659,Bahawalpur,Punjab,0,827,562,107,107,66,98,37,32,50,0,107,No
Challan Printed,618,Bahawalpur,Punjab,0,519,587,120,61,140,0,145,0,0,0,61,No
Challan Printed,1072,Bahawalpur,Punjab,70,892,898,179,165,160,164,44,0,0,0,179,No
Application Fee Received,936,Bahawalpur,Punjab,49,907,786,172,121,155,130,38,30,50,1,155,No
Application Fee Received,689,Bahawalpur,Punjab,0,680,579,105,88,94,110,0,0,0,0,110,No
Application Fee Received,848,Bahawalpur,Punjab,60,749,695,116,158,147,35,67,39,50,0,158,No
Challan Printed,640,Bahawalpur,Punjab,52,659,645,145,43,107,0,0,0,0,0,0,No
Application Fee Received,747,OPEN,Punjab,0,743,625,127,0,0,0,0,0,0,0,127,No
Application Fee Received,942,Bahawalpur,Punjab,48,871,791,159,140,134,156,38,36,50,1,156,Yes
Admission Fee Challan Received,616,Bahawalpur,Punjab,0,610,507,114,0,0,0,0,0,0,1,114,No
Application Fee Received,889,Bahawalpur,Punjab,45,866,760,160,134,131,36,145,40,50,0,134,No
Application Fee Received,761,Bahawalpur,Punjab,0,722,661,127,119,138,110,0,0,0,0,110,No
Application Fee Received,940,Bahawalpur,Punjab,0,888,816,14,138,171,129,43,47,50,0,129,No
Application Fee Received,767,Bahawalpur,Punjab,0,803,661,111,122,110,108,35,36,50,0,111,No
Application Fee Received,709,Bahawalpur,Punjab,50,806,583,111,82,35,87,37,115,200,0,111,No
Application Fee Received,761,Bahawalpur,Punjab,58,809,662,104,42,138,104,117,41,50,0,104,No
Application Fee Received,892,Bahawalpur,Punjab,59,802,727,146,170,102,37,116,31,50,0,170,No
Application Fee Received,855,Bahawalpur,Punjab,54,784,740,138,120,121,0,145,0,0,0,120,No
Application Fee Received,642,Bahawalpur,Punjab,42,730,552,82,34,86,100,93,0,0,0,100,No
Application Fee Received,565,Bahawalpur,Punjab,0,605,497,68,32,29,71,0,0,0,0,68,No
Application Fee Received,903,Bahawalpur,Punjab,54,813,750,158,153,107,37,136,39,50,1,158,No
Admission Fee Challan Received,974,Bahawalpur,Punjab,39,669,812,151,136,168,147,40,40,50,1,147,Yes
Challan Printed,669,Bahawalpur,Punjab,0,706,544,105,87,111,90,31,32,50,0,105,No
Application Fee Received,752,Bahawalpur,Punjab,0,582,657,100,36,39,134,101,128,150,0,100,No
Application Fee Received,872,Bahawalpur,Punjab,54,815,719,113,138,131,41,118,38,50,0,138,No
Application Fee Received,538,Bahawalpur,Punjab,43,743,543,0,0,0,0,0,0,0,0,0,No
Application Fee Received,723,Bahawalpur,Punjab,19,682,626,102,81,97,131,39,46,50,0,102,No
Admission Fee Challan Received,959,Bahawalpur,Punjab,0,881,795,174,134,45,118,41,140,200,1,174,Yes
Application Fee Received,886,Bahawalpur,Punjab,60,650,727,164,0,0,0,0,0,0,0,164,No
