Domicile,Selection Quota,Hafiz e Quran,NTS,ECAT/MCAT,FA/FSC,BA/BSC,English Marks,Offered
Bahawalpur,,No,55,0,599,0,0,No
Bahawalpur,,No,53,0,872,0,0,Yes
Bahawalpur,,No,58,0,776,0,0,No
Bahawalpur,,No,53,0,637,0,0,No
OPEN,,No,48,0,737,0,0,No
Bahawalpur,,No,48,0,551,0,0,No
Bahawalpur,,Yes,45,0,777,0,0,No
Bahawalpur,,Yes,61,0,684,0,0,No
Bahawalpur,,No,59,0,728,0,0,No
Bahawalpur,,No,47,0,792,0,0,No
Bahawalpur,,No,53,0,754,0,0,No
Bahawalpur,,No,53,0,648,0,0,No
Bahawalpur,,No,42,0,598,0,0,No
Bahawalpur,,No,58,0,727,0,0,No
Bahawalpur,,No,65,0,737,0,0,No
Bahawalpur,,No,49,0,696,0,0,No
Bahawalpur,,No,45,0,589,0,0,No
Bahawalpur,,No,56,0,815,0,0,No
Bahawalpur,,No,46,0,784,0,0,No
Bahawalpur,,No,48,0,807,0,0,No
Bahawalpur,,No,51,0,863,0,0,Yes
Bahawalpur,,No,52,0,747,0,0,No
OPEN,,No,53,0,812,0,0,No
Bahawalpur,,Yes,41,17,773,0,0,No
Bahawalpur,,No,54,0,776,0,0,No
Bahawalpur,,No,42,0,600,0,0,No
Bahawalpur,,No,55,0,622,0,0,No
Bahawalpur,,No,55,0,627,0,0,No
Bahawalpur,,No,50,0,788,0,0,No
Bahawalpur,,No,47,0,734,0,0,No
OPEN,,No,61,0,584,0,0,No
Bahawalpur,,No,55,0,620,0,0,No
Bahawalpur,,No,51,0,817,0,0,No
Bahawalpur,,No,43,0,745,0,0,No
Bahawalpur,,No,53,0,587,0,0,No
Bahawalpur,,Yes,65,0,657,0,0,No
Bahawalpur,,Yes,62,0,744,0,0,No
Bahawalpur,,No,38,0,540,0,0,No
Bahawalpur,,No,29,29,916,0,0,Yes
Bahawalpur,,No,54,16,784,480,0,No
Bahawalpur,,No,53,0,819,0,0,No
Bahawalpur,,No,50,0,775,0,0,No
OPEN,,No,52,0,766,0,0,No
OPEN,,No,51,0,832,0,0,No
Bahawalpur,,No,58,0,695,0,0,No
OPEN,,No,41,0,717,0,0,No
Bahawalpur,,No,62,0,738,0,0,No
OPEN,,No,49,0,812,0,0,No
OPEN,,No,0,0,823,0,0,No
Bahawalpur,,No,47,0,615,0,0,No
Bahawalpur,,No,46,0,529,0,0,No
Bahawalpur,,No,57,0,711,0,0,No
Bahawalpur,,No,56,0,661,0,0,No
OPEN,,No,43,0,611,0,0,No
OPEN,,No,40,0,758,0,0,No
Bahawalpur,,No,71,0,798,0,0,Yes
Bahawalpur,,No,45,0,543,0,0,No
