Application Status,Admission Test,ssc_obtained,Terminal Degree,Document Verified,Offered
Complete,28,634,672,0,No
Complete,41,830,657,1,Yes
Complete,37,693,644,0,No
NotComplete,62,821,810,0,No
Complete,43,852,763,0,No
Complete,42,507,549,1,No
Complete,47,738,812,1,Yes
NotComplete,51,766,709,0,No
Complete,50,584,541,1,No
Complete,61,841,685,1,Yes
NotComplete,45,771,724,0,No
Complete,47,726,662,0,No
Complete,58,718,697,1,Yes
Complete,48,724,666,1,Yes
Complete,45,544,834,0,No
NotComplete,50,860,855,0,No
Complete,39,872,690,0,No
NotComplete,37,831,789,0,No
Complete,40,553,613,1,No
Complete,61,788,718,1,Yes
Complete,46,597,573,0,No
Complete,49,849,898,1,Yes
Complete,42,811,729,1,Yes
Complete,45,837,685,1,Yes
Complete,53,583,552,1,No
NotComplete,55,508,481,0,No
NotComplete,47,749,577,0,No
NotComplete,0,721,696,0,No
Complete,46,828,770,0,No
Complete,60,721,645,1,Yes
Complete,30,613,622,1,No
Complete,52,746,827,0,No
Complete,48,759,692,1,Yes
Complete,50,638,570,1,Yes
Complete,52,936,872,1,Yes
Complete,41,563,560,0,No
Complete,67,913,861,1,Yes
Complete,37,754,748,0,No
Complete,50,733,678,1,Yes
Complete,49,849,807,1,Yes
Complete,45,615,495,1,No
Complete,48,863,710,0,No
Complete,44,643,527,0,No
Complete,50,642,531,1,No
Complete,46,844,738,0,No
Complete,54,806,660,1,Yes
Complete,56,728,698,1,Yes
Complete,50,826,626,0,No
Complete,52,746,882,1,Yes
NotComplete,82,793,921,0,No
NotComplete,24,592,696,0,No
Complete,52,719,637,1,No
NotComplete,0,695,663,0,No
Complete,43,581,689,0,No
NotComplete,81,912,944,0,No
Complete,39,753,895,0,No
Complete,36,699,766,0,No
Complete,38,722,896,0,No
Complete,41,918,781,1,Yes
Complete,44,749,727,1,Yes
Complete,30,813,836,0,No
Complete,40,823,702,0,No
Complete,41,607,524,0,No
Complete,32,845,839,0,No
Complete,35,710,874,0,No
Complete,32,826,633,0,No
NotComplete,42,870,869,0,No
NotComplete,80,902,925,0,No
Complete,49,921,744,0,No
NotComplete,0,623,589,0,No
Complete,44,796,782,0,No
Complete,46,764,690,1,Yes
Complete,47,859,750,0,No
NotComplete,50,655,618,0,No
Complete,47,820,856,0,No
NotComplete,54,865,848,0,No
Complete,50,884,705,0,No
Complete,49,568,651,1,Yes
Complete,44,684,608,0,No
Complete,46,766,915,0,No
Complete,60,973,864,1,Yes
NotComplete,32,733,679,0,No
NotComplete,44,848,773,0,No
Complete,58,810,725,1,Yes
NotComplete,44,673,568,0,No
Complete,39,822,688,0,No
Complete,85,971,948,1,Yes
Complete,56,790,605,0,No
Complete,41,835,658,0,No
Complete,40,750,794,1,Yes
Complete,70,887,938,0,No
Complete,51,907,909,1,Yes
NotComplete,41,777,661,0,No
Complete,43,656,633,0,No
Complete,48,748,885,0,No
Complete,43,823,704,1,No
Complete,43,688,699,1,No
Complete,46,715,689,0,No
Complete,53,727,671,0,No
Complete,49,740,750,1,Yes
Complete,42,596,646,0,No
Complete,65,820,893,0,No
Complete,44,915,836,0,No
Complete,57,877,905,0,No
Complete,48,699,680,0,No
Complete,50,651,665,0,No
Complete,72,959,960,1,Yes
NotComplete,52,873,796,0,No
Complete,44,805,711,1,Yes
Complete,52,793,787,0,No
Complete,33,864,735,1,No
Complete,58,858,771,0,No
Complete,49,836,712,1,Yes
Complete,40,829,823,1,Yes
Complete,48,695,575,0,No
Complete,42,841,856,1,Yes
Complete,63,911,951,0,No
Complete,46,688,586,0,No
Complete,50,648,779,1,Yes
Complete,62,917,850,1,Yes
NotComplete,43,795,849,0,No
Complete,41,890,724,0,No
Complete,52,861,745,1,Yes
Complete,42,743,779,1,Yes
Complete,50,879,732,1,Yes
Complete,49,0,0,0,No
Complete,32,717,788,0,No
Complete,48,826,757,1,Yes
NotComplete,0,621,545,0,No
Complete,44,793,834,1,Yes
Complete,44,618,715,1,Yes
Complete,42,929,899,1,Yes
NotComplete,0,691,538,0,No
Complete,49,792,823,1,Yes
Complete,63,897,889,1,Yes
Complete,37,807,555,0,No
Complete,50,799,787,0,No
Complete,57,754,664,0,No
Complete,31,723,690,0,No
Complete,67,866,902,1,Yes
Complete,71,955,958,1,Yes
Complete,50,719,596,1,No
Complete,39,685,635,0,No
Complete,40,713,603,0,No
Complete,64,909,906,1,Yes
Complete,42,734,604,0,No
Complete,51,759,854,1,Yes
Complete,36,657,615,0,No
Complete,44,651,654,0,No
Complete,51,872,627,0,No
NotComplete,45,844,765,0,No
Complete,51,886,759,1,Yes
Complete,51,557,606,0,No
Complete,47,767,652,0,No
Complete,44,706,674,0,No
Complete,52,864,720,1,Yes
Complete,56,847,880,1,Yes
Complete,41,706,782,0,No
Complete,47,650,669,0,No
NotComplete,47,662,700,0,No
Complete,47,799,748,0,No
Complete,51,919,727,1,Yes
Complete,37,663,789,0,No
Complete,53,639,795,0,No
Complete,69,781,833,1,Yes
NotComplete,42,723,557,0,No
Complete,49,818,743,1,Yes
Complete,56,785,842,0,No
Complete,47,742,717,0,No
NotComplete,56,830,837,0,No
Complete,38,629,723,0,No
Complete,31,763,610,0,No
Complete,40,597,538,0,No
Complete,45,657,579,0,No
Complete,46,641,573,0,No
Complete,46,768,657,0,No
Complete,51,603,500,1,No
Complete,43,620,800,1,Yes
Complete,50,834,593,0,No
Complete,43,837,756,1,Yes
Complete,28,722,682,0,No
NotComplete,35,584,520,0,No
Complete,54,809,672,0,No
Complete,71,880,887,0,No
Complete,45,634,846,1,Yes
NotComplete,51,786,674,0,No
Complete,44,624,652,0,No
Complete,38,695,594,0,No
Complete,52,928,846,0,No
Complete,54,817,766,1,Yes
Complete,38,697,705,0,No
Complete,43,784,763,1,Yes
Complete,43,714,757,1,Yes
Complete,37,592,570,0,No
Complete,70,887,796,1,Yes
Complete,47,811,565,0,No
Complete,32,908,752,0,No
Complete,48,834,714,0,No
Complete,63,595,504,0,No
Complete,45,631,720,0,No
Complete,42,631,631,0,No
Complete,28,785,630,0,No
Complete,43,683,672,0,No
NotComplete,80,891,941,0,No
Complete,45,730,763,1,No
Complete,48,717,671,0,No
Complete,69,873,753,1,Yes
Complete,45,750,737,1,Yes
Complete,56,747,697,1,Yes
Complete,48,584,643,0,No
NotComplete,49,760,746,0,No
Complete,50,791,796,1,Yes
Complete,44,745,776,1,Yes
Complete,68,953,889,1,Yes
Complete,49,640,634,1,No
NotComplete,43,853,734,0,No
Complete,42,640,612,0,No
Complete,54,610,604,0,No
Complete,50,832,679,0,No
Complete,70,933,876,1,Yes
Complete,50,829,699,1,Yes
Complete,52,845,892,1,Yes
Complete,43,639,670,0,No
Complete,41,662,731,1,Yes
Complete,42,714,772,0,No
Complete,44,727,687,0,No
Complete,45,861,746,0,No
Complete,55,655,750,1,Yes
Complete,63,860,927,1,No
Complete,25,682,606,0,No
Complete,43,819,842,1,Yes
NotComplete,0,829,647,0,No
NotComplete,61,922,860,0,No
Complete,54,801,811,0,No
Complete,43,644,750,1,Yes
Complete,53,741,705,1,Yes
Complete,57,748,651,1,No
Complete,41,811,768,0,No
NotComplete,55,984,841,0,No
Complete,46,900,871,1,Yes
NotComplete,43,809,706,0,No
Complete,53,899,910,1,Yes
Complete,28,764,697,0,No
Complete,51,865,816,0,No
Complete,46,834,826,0,No
Complete,37,675,715,0,No
Complete,43,577,558,0,No
Complete,41,585,615,0,No
Complete,53,852,757,0,No
Complete,86,907,957,1,Yes
Complete,53,925,557,0,No
Complete,41,775,802,1,Yes
Complete,44,933,862,0,No
Complete,46,694,656,0,No
Complete,65,869,854,1,Yes
NotComplete,58,693,731,0,No
Complete,44,887,772,1,Yes
Complete,43,788,700,1,No
Complete,48,836,860,0,No
Complete,38,644,690,0,No
Complete,34,678,756,0,No
Complete,41,701,598,0,No
Complete,48,925,714,0,No
Complete,54,824,852,1,Yes
Complete,46,886,847,0,No
Complete,53,774,727,1,Yes
Complete,42,872,776,1,Yes
Complete,51,624,561,0,No
Complete,38,612,854,0,No
Complete,44,714,665,0,No
Complete,49,805,839,0,No
NotComplete,54,866,749,0,No
Complete,43,847,689,0,No
NotComplete,48,795,824,0,No
Complete,37,845,803,0,No
Complete,42,765,692,0,No
Complete,30,647,598,0,No
Complete,53,805,738,1,Yes
Complete,64,946,861,0,No
Complete,40,678,568,1,No
NotComplete,57,771,838,0,No
Complete,41,771,678,0,No
NotComplete,0,729,776,0,No
NotComplete,0,692,712,0,No
Complete,46,797,631,0,No
NotComplete,49,861,682,0,No
NotComplete,0,642,685,0,No
Complete,0,501,689,1,No
NotComplete,50,500,782,0,No
NotComplete,0,752,591,0,No
Complete,0,654,680,1,No
