application_status,NTS,ssc_obtained,FA/FSC,Document Verified,Offered
NotComplete,46,583,728,No,No
NotComplete,57,618,552,No,No
Complete,47,827,741,No,No
Complete,50,567,492,Yes,No
Complete,56,857,750,No,No
Complete,47,577,850,Yes,Yes
Complete,57,685,824,Yes,Yes
Complete,47,897,740,No,No
Complete,52,684,589,Yes,No
Complete,63,709,876,No,No
Complete,44,906,799,No,No
Complete,49,525,787,No,No
Complete,47,735,857,Yes,Yes
Complete,50,696,612,No,No
NotComplete,59,800,642,No,No
Complete,63,842,781,Yes,No
NotComplete,47,683,574,No,No
Complete,44,722,596,No,No
Complete,52,712,736,No,No
Complete,57,689,781,No,No
Complete,45,671,782,No,No
Complete,66,836,790,No,No
Complete,51,821,704,No,No
Complete,50,864,652,No,No
Complete,45,674,645,No,No
Complete,52,710,657,No,No
Complete,44,791,674,No,No
Complete,50,564,639,No,No
Complete,55,614,622,No,No
NotComplete,43,862,789,No,No
Complete,55,795,734,No,No
NotComplete,38,638,541,No,No
Complete,50,735,780,No,No
Complete,54,722,770,No,No
Complete,52,752,745,No,No
Complete,82,961,972,Yes,Yes
Complete,52,786,803,Yes,No
Complete,49,684,691,No,No
Complete,71,729,634,No,No
Complete,50,604,755,No,No
Complete,42,508,724,Yes,No
Complete,40,588,832,No,No
Complete,55,814,771,No,No
Complete,57,741,598,No,No
Complete,50,756,828,No,No
Complete,50,575,652,No,No
NotComplete,51,666,742,No,No
NotComplete,43,684,620,No,No
Complete,53,878,810,Yes,No
Complete,58,753,705,No,No
Complete,40,510,523,Yes,No
Complete,40,546,743,No,No
Complete,50,715,654,No,No
Complete,56,752,684,No,No
Complete,49,714,769,No,No
Complete,55,553,811,Yes,No
Complete,50,651,724,No,No
Complete,53,808,661,No,No
Complete,46,586,517,No,No
Complete,51,960,845,Yes,Yes
Complete,46,545,564,No,No
Complete,52,765,735,No,No
Complete,47,655,560,No,No
Complete,55,758,864,Yes,Yes
Complete,56,739,704,No,No
Complete,57,801,711,No,No
NotComplete,50,742,754,No,No
NotComplete,46,512,518,No,No
Complete,53,717,615,No,No
Complete,57,602,645,Yes,No
NotComplete,30,565,570,No,No
NotComplete,55,732,742,No,No
Complete,61,832,920,Yes,Yes
Complete,58,896,695,No,No
Complete,61,951,735,No,No
Complete,52,789,623,No,No
Complete,57,602,763,No,No
Complete,61,918,907,Yes,Yes
Complete,48,748,753,No,No
Complete,41,542,619,No,No
Complete,57,885,814,No,No
Complete,53,777,802,No,No
Complete,52,553,754,No,No
Complete,85,850,868,Yes,Yes
Complete,50,648,644,No,No
Complete,63,772,703,Yes,No
Complete,50,906,761,No,No
Complete,63,710,604,No,No
NotComplete,28,682,758,No,No
Complete,46,830,624,No,No
Complete,53,726,727,No,No
Complete,52,743,662,No,No
Complete,51,735,773,Yes,No
Complete,63,592,562,No,No
NotComplete,50,658,646,No,No
Complete,54,607,783,No,No
Complete,54,828,846,Yes,Yes
Complete,47,555,531,No,No
NotComplete,54,700,737,No,No
Complete,46,868,802,No,No
Complete,56,838,828,No,No
NotComplete,54,838,693,No,No
NotComplete,43,803,894,No,No
Complete,43,580,614,No,No
Complete,56,833,637,No,No
Complete,40,686,618,No,No
Complete,62,910,874,Yes,Yes
Complete,56,810,782,No,No
Complete,50,725,867,Yes,Yes
Complete,55,577,705,No,No
Complete,48,675,652,No,No
Complete,59,924,854,Yes,Yes
Complete,54,762,662,No,No
Complete,47,780,745,No,No
Complete,34,518,720,No,No
Complete,50,910,760,No,No
Complete,54,851,813,Yes,No
Complete,45,729,529,No,No
Complete,52,756,792,No,No
NotComplete,41,830,657,No,No
Complete,50,761,686,No,No
Complete,65,834,814,Yes,Yes
Complete,52,641,575,No,No
Complete,51,544,731,No,No
Complete,42,511,595,No,No
Complete,47,738,812,No,No
Complete,60,578,552,No,No
Complete,61,841,685,No,No
NotComplete,45,771,724,No,No
Complete,42,584,571,No,No
Complete,40,818,642,No,No
Complete,40,834,777,No,No
Complete,50,863,752,No,No
Complete,47,800,726,No,No
Complete,48,724,666,No,No
Complete,65,636,618,No,No
Complete,59,760,756,No,No
NotComplete,43,603,626,No,No
Complete,50,860,855,Yes,No
NotComplete,53,687,801,No,No
NotComplete,41,808,880,No,No
Complete,52,551,697,No,No
Complete,50,756,643,No,No
Complete,53,903,859,Yes,Yes
Complete,52,877,897,Yes,Yes
Complete,50,666,649,No,No
Complete,51,705,664,No,No
Complete,41,902,588,No,No
Complete,51,680,751,No,No
NotComplete,53,583,552,No,No
Complete,28,526,824,No,No
Complete,55,898,749,No,No
Complete,53,800,767,No,No
Complete,48,764,589,No,No
Complete,40,473,583,Yes,No
Complete,53,798,731,No,No
Complete,58,840,782,Yes,No
Complete,59,649,873,Yes,Yes
Complete,54,701,765,No,No
Complete,52,557,600,No,No
Complete,50,661,513,No,No
Complete,57,747,633,No,No
Complete,53,509,662,No,No
Complete,40,530,859,Yes,No
NotComplete,53,844,865,No,No
NotComplete,53,730,800,No,No
NotComplete,51,734,627,No,No
NotComplete,50,634,709,No,No
NotComplete,44,876,678,No,No
Complete,49,835,770,No,No
Complete,52,582,635,No,No
NotComplete,43,817,754,No,No
Complete,53,770,616,No,No
NotComplete,45,792,604,No,No
NotComplete,47,739,754,No,No
Complete,59,832,894,No,No
Complete,49,872,807,No,No
NotComplete,55,513,666,No,No
Complete,50,642,531,No,No
Complete,41,783,840,Yes,No
NotComplete,0,518,484,No,No
NotComplete,54,756,581,No,No
NotComplete,51,700,794,No,No
Complete,24,511,859,No,No
Complete,50,826,626,No,No
NotComplete,43,753,608,No,No
Complete,46,756,589,No,No
NotComplete,68,879,775,No,No
NotComplete,0,931,756,No,No
Complete,56,799,829,No,No
Complete,40,835,715,Yes,No
NotComplete,34,613,654,No,No
Complete,56,844,804,No,No
Complete,50,645,703,No,No
NotComplete,47,792,741,No,No
Complete,57,735,686,No,No
Complete,50,691,675,No,No
Complete,50,623,634,No,No
NotComplete,50,812,742,No,No
Complete,48,561,861,No,No
Complete,37,589,702,No,No
NotComplete,40,812,755,No,No
Complete,54,869,871,No,No
NotComplete,26,718,688,No,No
NotComplete,0,933,841,No,No
Complete,0,798,780,No,No
Complete,53,931,815,Yes,No
Complete,52,818,856,Yes,Yes
Complete,42,652,817,No,No
Complete,53,762,842,No,No
NotComplete,48,740,704,No,No
NotComplete,0,818,856,No,No
NotComplete,0,813,804,No,No
Complete,66,849,814,No,No
Complete,49,879,723,No,No
NotComplete,73,940,834,No,No
Complete,59,940,893,No,No
Complete,48,797,780,No,No
Complete,38,856,839,No,No
Complete,59,761,803,No,No
Complete,62,772,841,Yes,Yes
Complete,48,733,693,No,No
Complete,49,882,842,No,No
NotComplete,55,891,830,No,No
NotComplete,0,722,501,No,No
Complete,47,823,806,No,No
Complete,53,877,849,Yes,Yes
