Application Status,Domicile,Admission Test,SSC,Terminal Degree,Optional Subject 1,Optional Subject 3,Document Verified,Offered
Complete,Bahawalpur,0,528,720,80,120,0,No
Complete,Bahawalpur,55,827,888,141,171,1,Yes
Complete,Bahawalpur,0,608,623,0,0,0,No
Complete,Bahawalpur,58,538,611,151,109,0,No
Complete,Bahawalpur,53,844,865,172,148,0,No
NotComplete,Bahawalpur,75,957,949,181,194,0,No
Complete,Bahawalpur,32,815,713,0,0,0,No
Complete,Bahawalpur,0,745,666,116,138,0,No
Complete,Bahawalpur,50,733,678,121,82,0,No
Complete,Bahawalpur,59,786,746,127,0,0,No
Complete,Bahawalpur,49,670,534,90,77,0,No
NotComplete,Bahawalpur,52,587,834,0,0,0,No
Complete,Bahawalpur,0,748,865,120,154,0,No
Complete,Bahawalpur,55,902,687,120,120,0,No
NotComplete,Bahawalpur,53,799,859,160,173,0,No
Complete,Bahawalpur,0,921,651,59,109,0,No
Complete,Bahawalpur,74,945,943,169,178,1,Yes
Complete,Bahawalpur,43,798,790,126,126,0,No
NotComplete,Bahawalpur,56,921,765,161,139,0,No
Complete,Bahawalpur,56,846,780,127,148,0,No
NotComplete,Bahawalpur,0,763,932,142,73,0,No
Complete,Bahawalpur,59,832,894,179,157,0,No
Complete,Bahawalpur,41,783,840,134,145,1,Yes
NotComplete,Bahawalpur,0,761,717,106,131,0,No
Complete,Bahawalpur,50,685,599,114,103,0,No
Complete,Bahawalpur,55,798,775,0,0,0,No
Complete,OPEN,48,759,604,0,0,0,No
Complete,Bahawalpur,46,756,589,94,106,0,No
Complete,OPEN,50,861,925,166,170,0,No
NotComplete,OPEN,0,600,719,132,0,0,No
NotComplete,OPEN,0,931,756,0,0,0,No
Complete,OPEN,69,951,966,0,0,0,No
Complete,OPEN,72,916,970,185,187,0,No
NotComplete,OPEN,0,804,913,0,0,0,No
Complete,OPEN,0,639,680,67,179,0,No
Complete,OPEN,0,839,879,176,170,0,No
Complete,OPEN,70,904,940,179,171,0,No
Complete,OPEN,60,894,864,162,161,0,No
Complete,OPEN,0,520,676,137,87,0,No
Complete,OPEN,0,788,735,155,89,0,No
NotComplete,OPEN,79,887,970,174,184,0,No
Complete,OPEN,28,880,806,131,154,0,No
Complete,OPEN,53,715,690,98,39,0,No
Complete,OPEN,0,766,684,0,0,0,No
Complete,OPEN,57,735,686,138,120,0,No
NotComplete,OPEN,0,926,892,178,174,0,No
Complete,OPEN,0,758,776,134,142,0,No
Complete,OPEN,0,656,633,99,123,0,No
Complete,OPEN,59,896,932,142,189,0,No
NotComplete,OPEN,75,957,934,173,183,0,No
Complete,OPEN,0,639,642,126,132,0,No
NotComplete,OPEN,0,789,742,102,151,0,No
Complete,OPEN,87,876,983,175,189,1,Yes
Complete,OPEN,0,721,684,109,133,0,No
Complete,OPEN,0,605,692,93,147,0,No
Complete,OPEN,0,822,866,150,171,0,No
Complete,OPEN,28,865,846,120,182,0,No
Complete,OPEN,0,690,786,156,128,0,No
NotComplete,OPEN,60,985,914,157,45,0,No
Complete,OPEN,62,863,914,0,0,0,No
