Application Status,SSC,Admission Test,Terminal Degree,Document Verified,Offered
Complete,684,52,589,1,No
Complete,709,63,876,0,No
Complete,906,44,799,0,No
Complete,525,49,787,0,No
Complete,735,47,857,1,Yes
Complete,696,50,612,0,No
NotComplete,800,59,642,0,No
Complete,842,63,781,1,No
NotComplete,683,47,574,0,No
Complete,722,44,596,0,No
Complete,712,52,736,0,No
Complete,689,57,781,0,No
Complete,671,45,782,0,No
Complete,836,66,790,0,No
Complete,821,51,704,0,No
Complete,864,50,652,0,No
Complete,674,45,645,0,No
Complete,710,52,657,0,No
Complete,791,44,674,0,No
Complete,564,50,639,0,No
Complete,614,55,622,0,No
NotComplete,862,43,789,0,No
Complete,795,55,734,0,No
NotComplete,638,38,541,0,No
Complete,735,50,780,0,No
Complete,722,54,770,0,No
Complete,752,52,745,0,No
Complete,961,82,972,1,Yes
Complete,786,52,803,1,No
Complete,684,49,691,0,No
Complete,729,71,634,0,No
Complete,604,50,755,0,No
Complete,508,42,724,1,No
Complete,588,40,832,0,No
Complete,814,55,771,0,No
Complete,741,57,598,0,No
Complete,756,50,828,0,No
Complete,575,50,652,0,No
NotComplete,666,51,742,0,No
NotComplete,684,43,620,0,No
Complete,878,53,810,1,No
Complete,753,58,705,0,No
Complete,510,40,523,1,No
Complete,546,40,743,0,No
Complete,715,50,654,0,No
Complete,752,56,684,0,No
Complete,714,49,769,0,No
Complete,553,55,811,1,No
Complete,651,50,724,0,No
Complete,808,53,661,0,No
Complete,586,46,517,0,No
Complete,960,51,845,1,Yes
Complete,545,46,564,0,No
Complete,765,52,735,0,No
Complete,655,47,560,0,No
Complete,758,55,864,1,Yes
Complete,739,56,704,0,No
Complete,801,57,711,0,No
NotComplete,742,50,754,0,No
NotComplete,512,46,518,0,No
Complete,717,53,615,0,No
Complete,602,57,645,1,No
NotComplete,565,30,570,0,No
NotComplete,732,55,742,0,No
Complete,832,61,920,1,Yes
Complete,896,58,695,0,No
Complete,951,61,735,0,No
Complete,789,52,623,0,No
Complete,602,57,763,0,No
Complete,918,61,907,1,Yes
Complete,748,48,753,0,No
Complete,542,41,619,0,No
Complete,885,57,814,0,No
Complete,777,53,802,0,No
Complete,553,52,754,0,No
Complete,850,85,868,1,Yes
Complete,648,50,644,0,No
Complete,772,63,703,1,No
Complete,906,50,761,0,No
Complete,710,63,604,0,No
NotComplete,682,28,758,0,No
Complete,830,46,624,0,No
Complete,726,53,727,0,No
Complete,743,52,662,0,No
Complete,735,51,773,1,No
Complete,592,63,562,0,No
NotComplete,658,50,646,0,No
Complete,607,54,783,0,No
Complete,828,54,846,1,Yes
Complete,555,47,531,0,No
NotComplete,700,54,737,0,No
Complete,868,46,802,0,No
Complete,838,56,828,0,No
NotComplete,838,54,693,0,No
NotComplete,803,43,894,0,No
Complete,580,43,614,0,No
Complete,833,56,637,0,No
Complete,686,40,618,0,No
Complete,910,62,874,1,Yes
Complete,810,56,782,0,No
Complete,725,50,867,1,Yes
Complete,577,55,705,0,No
Complete,675,48,652,0,No
Complete,924,59,854,1,Yes
Complete,762,54,662,0,No
Complete,780,47,745,0,No
Complete,518,34,720,0,No
Complete,910,50,760,0,No
Complete,851,54,813,1,No
Complete,729,45,529,0,No
Complete,756,52,792,0,No
NotComplete,830,41,657,0,No
Complete,761,50,686,0,No
Complete,834,65,814,1,Yes
Complete,641,52,575,0,No
Complete,544,51,731,0,No
Complete,511,42,595,0,No
Complete,738,47,812,0,No
Complete,578,60,552,0,No
Complete,841,61,685,0,No
NotComplete,771,45,724,0,No
Complete,584,42,571,0,No
Complete,818,40,642,0,No
Complete,834,40,777,0,No
Complete,863,50,752,0,No
Complete,800,47,726,0,No
Complete,724,48,666,0,No
Complete,636,65,618,0,No
Complete,760,59,756,0,No
NotComplete,603,43,626,0,No
Complete,860,50,855,1,No
NotComplete,687,53,801,0,No
NotComplete,808,41,880,0,No
Complete,551,52,697,0,No
Complete,756,50,643,0,No
Complete,903,53,859,1,Yes
Complete,877,52,897,1,Yes
Complete,666,50,649,0,No
Complete,705,51,664,0,No
Complete,902,41,588,0,No
Complete,680,51,751,0,No
NotComplete,583,53,552,0,No
Complete,526,28,824,0,No
Complete,898,55,749,0,No
Complete,800,53,767,0,No
Complete,764,48,589,0,No
Complete,473,40,583,1,No
Complete,798,53,731,0,No
Complete,840,58,782,1,No
Complete,649,59,873,1,Yes
Complete,701,54,765,0,No
Complete,557,52,600,0,No
Complete,661,50,513,0,No
Complete,747,57,633,0,No
Complete,509,53,662,0,No
Complete,530,40,859,1,No
NotComplete,844,53,865,0,No
NotComplete,730,53,800,0,No
NotComplete,734,51,627,0,No
NotComplete,634,50,709,0,No
NotComplete,876,44,678,0,No
Complete,835,49,770,0,No
Complete,582,52,635,0,No
NotComplete,817,43,754,0,No
Complete,770,53,616,0,No
NotComplete,792,45,604,0,No
NotComplete,739,47,754,0,No
Complete,832,59,894,0,No
Complete,872,49,807,0,No
NotComplete,513,55,666,0,No
Complete,642,50,531,0,No
Complete,783,41,840,1,No
NotComplete,518,0,484,0,No
NotComplete,756,54,581,0,No
NotComplete,700,51,794,0,No
Complete,511,24,859,0,No
Complete,826,50,626,0,No
NotComplete,753,43,608,0,No
Complete,756,46,589,0,No
NotComplete,879,68,775,0,No
NotComplete,931,0,756,0,No
Complete,799,56,829,0,No
Complete,835,40,715,1,No
NotComplete,613,34,654,0,No
Complete,844,56,804,0,No
Complete,645,50,703,0,No
NotComplete,792,47,741,0,No
Complete,735,57,686,0,No
Complete,691,50,675,0,No
Complete,623,50,634,0,No
NotComplete,812,50,742,0,No
Complete,561,48,861,0,No
Complete,589,37,702,0,No
NotComplete,812,40,755,0,No
Complete,869,54,871,0,No
NotComplete,718,26,688,0,No
NotComplete,933,0,841,0,No
Complete,798,0,780,0,No
Complete,931,53,815,1,No
Complete,818,52,856,1,Yes
Complete,652,42,817,0,No
Complete,762,53,842,0,No
NotComplete,740,48,704,0,No
NotComplete,818,0,856,0,No
NotComplete,813,0,804,0,No
Complete,849,66,814,0,No
Complete,879,49,723,0,No
NotComplete,940,73,834,0,No
Complete,940,59,893,0,No
Complete,797,48,780,0,No
Complete,856,38,839,0,No
Complete,761,59,803,0,No
Complete,772,62,841,1,Yes
Complete,733,48,693,0,No
Complete,882,49,842,0,No
NotComplete,891,55,830,0,No
NotComplete,722,0,501,0,No
Complete,823,47,806,0,No
Complete,877,53,849,1,Yes
NotComplete,651,0,629,0,No
Complete,693,50,681,0,No
Complete,613,50,725,0,No
NotComplete,862,64,826,0,No
Complete,796,44,782,0,No
Complete,901,44,871,0,No
NotComplete,697,56,728,0,No
Complete,931,59,905,1,Yes
Complete,764,46,690,0,No
Complete,517,53,600,0,No
NotComplete,738,41,741,0,No
Complete,708,0,691,0,No
Complete,723,45,698,0,No
Complete,635,26,557,0,No
Complete,655,50,618,0,No
Complete,820,47,856,0,No
NotComplete,783,0,766,0,No
Complete,865,54,848,0,No
NotComplete,765,47,529,0,No
Complete,684,44,608,0,No
NotComplete,639,46,747,0,No
Complete,848,59,888,0,No
Complete,506,0,501,0,No
Complete,861,50,817,0,No
Complete,782,44,852,1,Yes
NotComplete,729,49,674,0,No
NotComplete,931,60,920,0,No
NotComplete,831,0,843,0,No
Complete,776,58,827,0,No
NotComplete,775,0,690,0,No
Complete,827,83,833,0,No
NotComplete,690,0,713,0,No
NotComplete,641,50,664,0,No
Complete,757,49,707,0,No
NotComplete,835,41,658,0,No
Complete,718,54,764,0,No
NotComplete,693,52,801,0,No
Complete,667,55,627,0,No
Complete,800,49,879,0,No
NotComplete,663,46,862,0,No
Complete,829,52,892,0,No
NotComplete,777,41,661,0,No
Complete,717,22,811,0,No
Complete,644,40,701,0,No
Complete,790,54,706,0,No
Complete,812,43,882,0,No
Complete,749,50,726,0,No
Complete,937,51,875,0,No
Complete,823,43,704,0,No
Complete,739,63,816,0,No
NotComplete,669,52,642,0,No
Complete,840,60,765,1,No
Complete,715,46,689,0,No
Complete,601,33,647,0,No
Complete,808,51,825,1,No
Complete,900,57,860,0,No
Complete,662,51,754,0,No
NotComplete,701,60,748,0,No
Complete,826,55,818,0,No
Complete,453,50,546,0,No
Complete,724,57,780,0,No
Complete,832,60,683,0,No
Complete,554,60,682,0,No
Complete,864,52,659,0,No
