Application Status,Merit Score,Domicile,Gender,Province,Admission Test,Admission Test 2,SSC,Terminal Degree,Optional Subject 1,Optional Subject 2,Optional Subject 3,Optional Subject 4,Optional Subject 5,Document Verified,English Marks,Offered
Application Received,978,Bahawalpur,female,Punjab,63,63,852,920,172,152,46,49,175,0,0,No
Application Fee Received,874,Bahawalpur,male,Punjab,57,0,871,822,113,161,44,155,43,0,0,No
Application Received,1034.909,Bahawalpur,female,Punjab,69,69,807,950,176,179,178,0,0,0,0,No
Application Fee Received,991.909,Bahawalpur,female,Punjab,64,64,893,932,184,151,167,0,180,0,0,No
Application Fee Received,878,Bahawalpur,female,Punjab,50,0,786,833,146,48,42,142,153,0,0,No
Application Fee Received,899.545,Bahawalpur,female,Punjab,66,66,829,838,0,0,0,0,0,0,0,No
Application Fee Received,821,Bahawalpur,female,Punjab,51,0,852,775,159,41,45,132,136,0,0,No
Application Fee Received,811,Bahawalpur,female,Punjab,47,0,892,769,154,47,46,122,119,0,0,No
Application Fee Received,800,Bahawalpur,female,Punjab,59,0,751,746,144,125,123,0,0,0,0,No
Challan Printed,976.091,Bahawalpur,male,Punjab,56,56,954,925,159,48,162,184,174,0,0,No
Application Fee Received,574,Bahawalpur,male,Punjab,40,0,746,539,123,73,81,0,0,0,0,No
Application Fee Received,1012,Bahawalpur,female,Punjab,58,0,864,959,0,0,0,0,0,1,0,Yes
Application Fee Received,947,Bahawalpur,female,Punjab,53,0,814,899,170,170,162,0,0,0,0,No
Application Fee Received,850,Bahawalpur,female,Punjab,53,0,731,802,169,124,141,135,0,0,0,No
Admission Fee Challan Received,1035.727,Bahawalpur,male,Punjab,72,72,894,973,182,194,180,0,0,1,0,Yes
Admission Fee Challan Received,1018,Bahawalpur,female,Punjab,62,0,913,961,166,185,177,0,0,1,0,Yes
Application Fee Received,965.091,Bahawalpur,female,Punjab,56,56,939,914,173,163,176,0,0,0,0,No
Application Received,990,Bahawalpur,male,Punjab,63,63,877,932,164,181,172,178,46,0,0,No
Application Fee Received,942,Bahawalpur,male,Punjab,60,0,923,887,180,46,130,175,153,0,0,No
Application Fee Received,1068.545,Bahawalpur,female,Punjab,72,72,913,1001,192,48,183,191,188,0,0,No
Application Fee Received,782,Bahawalpur,male,Punjab,60,0,836,727,115,42,123,141,141,0,0,No
Application Fee Received,795,Bahawalpur,female,Punjab,40,0,862,760,146,119,136,136,0,0,0,No
Challan Printed,964,Bahawalpur,female,Punjab,66,0,885,903,0,0,0,0,0,0,0,No
Application Fee Received,884,Bahawalpur,female,Punjab,54,0,930,835,143,154,145,43,165,0,0,No
Challan Printed,983,Bahawalpur,male,Punjab,48,0,705,940,161,173,175,182,0,0,0,No
Application Fee Received,1003.273,Bahawalpur,male,Punjab,55,55,960,933,187,158,179,45,161,0,0,No
Application Fee Received,905,Bahawalpur,male,Punjab,52,0,772,858,160,149,160,45,162,0,0,No
Application Fee Received,1068.273,Bahawalpur,female,Punjab,84,84,970,989,175,189,190,183,0,0,0,No
Application Fee Received,946,Bahawalpur,male,Punjab,48,0,816,903,175,150,168,45,175,0,0,No
Application Fee Received,908,Bahawalpur,female,Punjab,59,0,809,854,0,0,0,0,0,0,0,No
Application Fee Received,1032.273,Bahawalpur,male,Punjab,70,70,924,952,172,182,173,176,0,0,0,No
Application Fee Received,924,Bahawalpur,male,Punjab,37,0,864,892,160,175,158,163,46,0,0,No
Application Fee Received,1008.818,Bahawalpur,female,Punjab,55,55,907,958,186,186,151,45,47,0,0,No
Application Fee Received,922,Bahawalpur,female,Punjab,48,0,853,879,142,171,154,0,167,0,0,No
Application Fee Received,999,Bahawalpur,female,Punjab,71,0,895,933,183,166,177,0,0,0,0,No
Application Fee Received,1018.909,Bahawalpur,female,Punjab,73,73,963,950,166,171,179,179,50,1,0,Yes
Application Fee Received,962,Bahawalpur,male,Punjab,53,0,957,914,170,164,160,45,164,0,0,No
Application Fee Received,1002,Bahawalpur,male,Punjab,68,0,870,939,169,178,176,47,166,0,0,No
Application Fee Received,1007.727,Bahawalpur,female,Punjab,65,65,927,952,165,47,42,177,175,1,0,No
Application Fee Received,963,Bahawalpur,female,Punjab,57,0,945,911,164,41,42,186,165,0,0,No
Application Fee Received,907,Bahawalpur,female,Punjab,50,0,910,862,153,169,146,156,43,0,0,No
Application Fee Received,1018.727,Bahawalpur,female,Punjab,72,72,912,951,167,181,183,44,177,1,0,Yes
Application Fee Received,835,Bahawalpur,male,Punjab,28,28,637,840,170,156,130,147,44,0,0,No
Application Fee Received,950,Bahawalpur,female,Punjab,48,43,815,907,175,45,146,178,173,0,0,No
Application Received,718,Bahawalpur,female,Punjab,40,0,647,683,105,36,139,108,130,0,0,No
Application Fee Received,944,Bahawalpur,male,Punjab,50,0,813,899,158,170,171,159,46,0,0,No
Application Fee Received,847,Bahawalpur,female,Punjab,52,0,808,800,142,139,132,45,138,0,0,No
Challan Printed,1001,Bahawalpur,female,Punjab,60,0,916,946,174,40,174,181,171,0,0,No
Application Fee Received,927,Bahawalpur,female,Punjab,65,0,892,867,161,124,170,46,172,0,0,No
Admission Fee Challan Received,1038.091,Bahawalpur,female,Punjab,75,75,869,968,161,190,190,48,174,1,0,Yes
Challan Printed,988.273,Bahawalpur,male,Punjab,57,57,688,916,170,156,183,171,48,0,0,No
Application Fee Received,962,Bahawalpur,male,Punjab,47,0,940,900,162,163,179,150,40,0,0,No
Admission Fee Challan Received,1032.818,Bahawalpur,male,Punjab,89,89,880,953,167,48,48,184,173,1,0,Yes
Application Fee Received,915,Bahawalpur,female,Punjab,60,0,853,860,141,37,45,140,157,0,0,No
Challan Printed,850,Bahawalpur,male,Punjab,61,0,838,794,158,127,149,134,0,0,0,No
Application Fee Received,1036,Bahawalpur,female,Punjab,69,0,968,972,177,179,189,183,46,1,0,Yes
Application Fee Received,888,Bahawalpur,female,Punjab,68,0,877,825,138,163,131,152,45,0,0,No
Application Fee Received,949,Bahawalpur,male,Punjab,54,0,744,880,0,0,0,0,0,0,0,No
Application Fee Received,824,Bahawalpur,female,Punjab,59,0,857,770,140,0,0,0,0,0,0,No
Challan Printed,1066.636,Bahawalpur,female,Punjab,86,86,903,970,186,175,181,0,0,0,0,No
Application Fee Received,1016,Bahawalpur,female,Punjab,57,0,918,964,172,49,180,184,175,0,0,No
Application Fee Received,1041.545,Bahawalpur,male,Punjab,88,88,965,948,182,177,179,173,43,1,0,Yes
Application Fee Received,572,Bahawalpur,male,Punjab,32,0,582,545,104,82,83,42,108,0,0,No
Application Fee Received,799,Bahawalpur,male,Punjab,62,0,706,742,120,124,112,168,0,0,0,No
Admission Fee Challan Received,1016.273,Bahawalpur,female,Punjab,74,74,973,947,134,0,0,0,0,1,0,Yes
Application Fee Received,1008,Bahawalpur,male,Punjab,64,0,877,949,185,172,180,42,165,1,0,No
Application Fee Received,944,Bahawalpur,male,Punjab,59,0,792,875,162,43,161,151,156,0,0,No
Challan Printed,853,Bahawalpur,female,Punjab,56,0,738,802,0,0,0,0,0,0,0,No
Application Fee Received,952,Bahawalpur,female,Punjab,54,0,960,903,150,42,44,173,170,0,0,No
Application Fee Received,761,Bahawalpur,female,Punjab,51,0,932,715,130,136,89,42,142,0,0,No
Application Fee Received,1048.545,Bahawalpur,female,Punjab,79,79,885,974,0,0,0,0,0,1,0,Yes
Application Fee Received,989.727,Bahawalpur,female,Punjab,78,78,941,916,166,42,45,162,174,0,0,No
Application Fee Received,865,Bahawalpur,female,Punjab,51,0,860,819,152,147,138,159,44,0,0,No
Application Fee Received,912.636,Bahawalpur,female,Punjab,44,44,800,853,0,0,0,0,0,0,0,No
Application Fee Received,1006,Bahawalpur,female,Punjab,48,0,883,968,184,176,175,0,0,0,0,No
Challan Printed,877,Bahawalpur,female,Punjab,45,0,850,837,180,39,125,172,39,0,0,No
Application Fee Received,941.364,Bahawalpur,female,Punjab,69,69,931,877,153,164,171,166,0,0,0,No
Application Received,591,Bahawalpur,male,Punjab,50,0,583,571,77,88,111,66,35,0,0,No
