Application Status,Merit Score,Domicile,Province,Admission Test,SSC,Terminal Degree,Optional Subject 1,Optional Subject 2,Optional Subject 3,Optional Subject 4,Optional Subject 5,Optional Subject 6,Document Verified,English Marks,Offered
Application Fee Received,725,Bahawalpur,Punjab,0,709,730,161,83,120,43,124,44,0,0,No
Admission Fee Challan Received,874,Bahawalpur,Punjab,49,820,859,151,172,132,163,41,48,1,0,Yes
Application Fee Received,835,Bahawalpur,Punjab,28,637,840,170,156,130,147,44,40,0,0,No
Application Received,857,Bahawalpur,Punjab,52,935,862,161,174,149,43,150,0,0,0,No
Application Fee Received,696,Bahawalpur,Punjab,48,655,701,122,106,141,97,41,49,0,0,No
Admission Fee Challan Received,839,Bahawalpur,Punjab,0,763,844,143,154,48,184,121,46,1,0,Yes
Application Fee Received,836,Bahawalpur,Punjab,73,924,841,165,152,147,141,40,38,0,0,No
Application Fee Received,831,Bahawalpur,Punjab,48,843,836,110,38,38,172,157,179,0,0,No
Application Fee Received,820,Bahawalpur,Punjab,68,877,825,138,163,131,152,45,45,0,0,No
Challan Printed,709,Bahawalpur,Punjab,0,574,714,153,91,121,118,46,40,0,0,No
Application Fee Received,878,Bahawalpur,Punjab,46,834,883,122,48,42,167,186,0,1,0,Yes
Application Received,817,Bahawalpur,Punjab,55,881,802,147,157,139,158,0,0,0,0,No
Application Fee Received,554,Bahawalpur,Punjab,47,633,559,97,80,69,0,0,0,0,0,No
Application Fee Received,713,Bahawalpur,Punjab,54,704,698,115,44,37,132,102,139,0,0,No
Application Fee Received,833,Bahawalpur,Punjab,54,870,843,139,44,44,158,144,172,1,0,Yes
Application Fee Received,795.71,Bahawalpur,Punjab,0,660,805,46,79,74,83,30,68,0,0,No
Challan Printed,630,Bahawalpur,Punjab,0,697,635,130,86,106,38,47,100,0,0,No
Application Fee Received,815.478,Bahawalpur,Punjab,44,746,825,0,0,0,0,0,0,0,0,No
Application Fee Received,845,Bahawalpur,Punjab,53,882,850,129,41,40,164,155,182,1,0,Yes
Application Fee Received,806,Bahawalpur,Punjab,46,840,811,139,43,37,173,156,132,0,0,No
Application Fee Received,498,Bahawalpur,Punjab,36,600,508,75,66,91,42,60,38,0,0,No
Application Fee Received,806,Bahawalpur,Punjab,44,739,811,145,45,146,43,120,161,0,0,No
Application Fee Received,858,Bahawalpur,Punjab,57,919,863,131,168,184,162,44,34,0,0,No
Application Fee Received,710,Bahawalpur,Punjab,51,932,715,130,136,89,42,142,45,0,0,No
Application Fee Received,814,Bahawalpur,Punjab,53,838,819,122,46,146,148,161,0,0,0,No
Application Fee Received,548,Bahawalpur,Punjab,50,612,553,94,102,99,18,113,0,0,0,No
Application Fee Received,548,Bahawalpur,Punjab,50,612,553,94,102,99,18,113,0,0,0,No
Challan Printed,863,Bahawalpur,Punjab,59,743,848,154,191,132,165,0,0,0,0,No
Challan Printed,969,Bahawalpur,Punjab,79,885,974,0,0,0,0,0,0,0,0,No
Application Fee Received,814,Bahawalpur,Punjab,51,860,819,152,147,138,159,44,39,0,0,No
Application Fee Received,904,OPEN,Punjab,53,963,914,189,159,172,43,170,45,1,0,Yes
Application Fee Received,886,Bahawalpur,Punjab,76,897,896,0,0,0,0,0,0,0,0,No
