Application Status,Merit Score,Domicile,Province,Admission Test,SSC,Terminal Degree,Optional Subject 1,Optional Subject 2,Optional Subject 3,Optional Subject 4,Optional Subject 5,Optional Subject 6,Document Verified,English Marks,Offered
Application Fee Received,858,OPEN,Punjab,52,942,863,161,132,164,48,149,48,0,0,No
Application Fee Received,834,OPEN,Punjab,52,672,839,148,165,137,44,160,0,0,0,No
Application Received,874,OPEN,Punjab,56,692,879,0,0,0,0,0,0,0,0,No
Application Fee Received,-30,OPEN,Punjab,0,0,0,0,0,0,0,0,,0,0,No
Application Fee Received,826,OPEN,Punjab,63,887,831,143,184,135,0,0,0,0,0,No
Challan Printed,742,OPEN,Punjab,0,879,757,142,110,121,47,168,47,0,0,No
Application Fee Received,572,OPEN,Punjab,53,925,557,108,0,0,0,0,0,0,0,No
Application Fee Received,765,OPEN,Punjab,0,682,770,79,111,96,129,86,154,0,0,No
Application Fee Received,792,OPEN,Punjab,0,752,797,89,141,108,160,102,128,0,0,No
Challan Printed,836,OPEN,Punjab,0,816,846,139,158,45,149,44,160,0,0,No
Application Received,911,OPEN,Punjab,62,876,916,172,189,150,166,46,42,0,0,No
Application Fee Received,815,Bahawalpur,Punjab,0,861,820,114,41,46,166,147,172,0,0,No
Application Fee Received,821,OPEN,Punjab,60,793,826,147,132,153,48,165,44,0,0,No
Challan Printed,618,OPEN,Punjab,34,693,603,95,40,96,121,104,33,0,0,No
Application Fee Received,672,OPEN,Punjab,0,857,677,130,45,40,130,105,93,0,0,No
Application Fee Received,726,Bahawalpur,Punjab,58,693,731,137,146,126,36,38,142,0,0,No
Application Fee Received,877,OPEN,Punjab,51,870,882,43,147,47,161,148,169,0,0,No
Application Fee Received,767,OPEN,Punjab,44,887,772,124,140,141,36,147,46,0,0,No
Application Fee Received,693,OPEN,Punjab,0,691,698,152,129,88,38,108,38,0,0,No
Challan Printed,892,OPEN,Punjab,55,903,897,0,0,0,0,0,0,0,0,No
Challan Printed,662,OPEN,Punjab,0,834,667,143,43,101,97,95,42,0,0,No
Application Fee Received,815,OPEN,Punjab,53,733,820,162,126,161,42,140,45,0,0,No
Application Fee Received,747,OPEN,Punjab,42,872,732,108,105,113,45,165,48,0,0,No
Application Fee Received,752,OPEN,Punjab,0,743,757,138,159,107,28,139,0,0,0,No
Application Fee Received,852,OPEN,Punjab,57,800,857,150,165,146,164,42,45,0,0,No
Challan Printed,712,OPEN,Punjab,0,829,717,142,111,41,163,39,101,0,0,No
Application Fee Received,861,OPEN,Punjab,69,926,866,170,172,125,161,0,0,0,0,No
Application Fee Received,691,OPEN,Punjab,0,735,696,108,129,131,46,104,45,0,0,No
Application Fee Received,946,OPEN,Punjab,68,954,951,173,48,191,160,168,48,1,0,Yes
Application Fee Received,720,OPEN,Punjab,0,798,725,150,115,106,47,46,127,0,0,No
Application Fee Received,798,OPEN,Punjab,59,672,803,166,137,141,44,144,45,0,0,No
Application Fee Received,517,Bahawalpur,Punjab,46,450,522,126,63,77,116,25,25,0,0,No
Challan Printed,634,OPEN,Punjab,70,792,639,0,0,0,0,0,0,0,0,No
Challan Printed,915,OPEN,Punjab,54,928,920,176,173,183,145,0,0,0,0,No
Challan Printed,784,OPEN,Punjab,0,910,789,149,158,166,41,41,120,0,0,No
Application Fee Received,685,OPEN,Punjab,50,705,690,96,140,42,130,107,44,0,0,No
Application Fee Received,829,OPEN,Punjab,0,742,834,43,170,43,163,145,132,0,0,No
Application Received,697,OPEN,Sind,0,819,702,0,0,0,0,0,0,0,0,No
Application Received,693,OPEN,Sind,13,800,698,52,47,66,38,47,0,0,0,No
Application Fee Received,646,OPEN,Sind,0,819,651,120,119,78,39,140,41,0,0,No
Application Received,790,OPEN,Baluchistan,0,732,795,130,36,111,36,148,130,0,0,No
Application Received,777,OPEN,Baluchistan,0,801,782,132,134,126,43,135,40,0,0,No
Application Fee Received,812,OPEN,Baluchistan,48,813,817,140,37,43,161,152,127,0,0,No
Challan Printed,760,OPEN,Baluchistan,0,734,765,0,0,0,0,0,0,0,0,No
Application Received,707,OPEN,Baluchistan,0,692,712,142,100,107,42,161,39,0,0,No
Application Fee Received,682,OPEN,Baluchistan,0,664,687,133,83,86,39,108,29,0,0,No
Application Received,828,OPEN,Punjab,51,907,833,135,153,166,140,46,49,0,0,No
Application Fee Received,777,OPEN,Baluchistan,0,763,782,0,0,0,0,0,0,0,0,No
Challan Printed,724,OPEN,Baluchistan,0,765,734,105,165,110,138,42,33,0,0,No
Application Fee Received,822,OPEN,Baluchistan,0,859,827,0,0,0,0,0,0,0,0,No
Admission Fee Challan Received,853,OPEN,Baluchistan,34,693,858,124,47,42,0,0,0,1,0,No
Application Fee Received,724,OPEN,Baluchistan,0,688,739,140,144,121,25,97,43,0,0,No
Admission Fee Challan Received,664,OPEN,Gilgit-Baltistan,0,740,669,135,130,150,0,0,0,1,0,No
