Application Status,Merit Score,Domicile,Province,Admission Test,SSC,Terminal Degree,Optional Subject 1,Optional Subject 2,Optional Subject 3,Optional Subject 4,Optional Subject 5,Optional Subject 6,Document Verified,English Marks,Offered
Application Fee Received,933,Bahawalpur,Punjab,60,869,883,158,150,175,81,169,150,0,0,No
Application Fee Received,968.364,Bahawalpur,Punjab,62,865,911,159,186,161,146,46,44,0,0,No
Application Fee Received,801,Bahawalpur,Punjab,47,807,759,123,131,43,134,45,146,0,0,No
Admission Fee Challan Received,1044,Bahawalpur,Punjab,77,985,972,184,190,176,0,183,0,1,0,Yes
Application Fee Received,822,Bahawalpur,Punjab,53,919,774,135,102,139,166,45,42,0,0,No
Application Fee Received,916,Bahawalpur,Punjab,54,784,867,145,137,162,178,0,0,0,0,No
Application Fee Received,828,Bahawalpur,Punjab,56,904,777,153,140,121,145,0,0,0,0,No
Application Fee Received,631,Bahawalpur,Punjab,67,651,574,105,74,104,93,0,0,0,0,No
Application Fee Received,921,Bahawalpur,Punjab,47,832,879,151,143,172,177,0,0,0,0,No
Application Fee Received,867,Bahawalpur,Punjab,51,714,821,145,136,137,147,44,42,0,0,No
Application Fee Received,1026.455,Bahawalpur,Punjab,68,949,963,0,0,0,0,0,0,1,0,No
Application Fee Received,974,Bahawalpur,Punjab,63,834,916,170,38,148,190,173,42,0,0,No
Application Fee Received,991,Bahawalpur,Punjab,59,935,937,0,0,0,0,0,0,0,0,No
Application Fee Received,857,Bahawalpur,Punjab,52,743,810,153,114,173,138,0,0,0,0,No
Application Fee Received,962.727,Bahawalpur,Punjab,63,981,904,162,166,164,158,46,45,0,0,No
Application Fee Received,861,Bahawalpur,Punjab,59,828,807,155,142,43,132,43,159,0,0,No
Application Fee Received,1001,Bahawalpur,Punjab,64,845,942,181,160,180,45,176,0,0,0,No
Admission Fee Challan Received,1090.909,Bahawalpur,Punjab,83,886,992,166,179,195,179,45,46,1,0,Yes
Application Fee Received,905,Bahawalpur,Punjab,61,880,834,129,160,162,0,159,0,0,0,No
Application Fee Received,922,Bahawalpur,Punjab,58,877,869,166,159,171,45,146,43,0,0,No
Application Fee Received,837,Bahawalpur,Punjab,53,876,789,160,43,43,139,127,127,0,0,No
Application Fee Received,1024,Bahawalpur,Punjab,69,966,960,181,177,182,44,176,42,0,0,No
Application Fee Received,1042,Bahawalpur,Punjab,72,916,975,0,0,0,0,0,0,1,0,Yes
Application Fee Received,966,Bahawalpur,Punjab,44,750,927,171,171,167,173,40,42,0,0,No
Application Fee Received,910,Bahawalpur,Punjab,51,882,864,139,152,162,181,47,47,0,0,No
Application Fee Received,856,Bahawalpur,Punjab,41,949,820,163,158,127,46,153,40,0,0,No
Application Fee Received,919,Bahawalpur,Punjab,50,710,874,148,46,159,151,165,48,0,0,No
Application Fee Received,925,Bahawalpur,Punjab,65,861,865,164,149,153,0,0,0,0,0,No
Application Fee Received,944.727,Bahawalpur,Punjab,53,848,896,160,141,170,0,0,0,0,0,No
Challan Printed,757,Bahawalpur,Punjab,51,881,711,143,128,137,0,112,0,0,0,No
Application Fee Received,965,Bahawalpur,Punjab,53,902,897,166,171,165,166,0,0,0,0,No
Application Fee Received,874,Bahawalpur,Punjab,57,871,822,113,161,44,155,43,149,0,0,No
Admission Fee Challan Received,1034.909,Bahawalpur,Punjab,69,807,950,176,179,178,0,0,0,1,0,Yes
Application Fee Received,991.909,Bahawalpur,Punjab,64,893,932,184,151,167,0,180,0,0,0,No
Application Fee Received,878,Bahawalpur,Punjab,50,786,833,146,48,42,142,153,156,0,0,No
Application Fee Received,736,Bahawalpur,Punjab,53,661,688,139,134,108,99,0,0,0,0,No
Challan Printed,899.545,Bahawalpur,Punjab,66,829,838,0,0,0,0,0,0,0,0,No
Application Fee Received,821,Bahawalpur,Punjab,51,852,775,159,41,45,132,136,115,0,0,No
Application Fee Received,811,Bahawalpur,Punjab,47,892,769,154,47,46,122,119,130,0,0,No
Challan Printed,775,Bahawalpur,Punjab,53,829,727,142,0,135,0,114,0,0,0,No
Application Fee Received,800,Bahawalpur,Punjab,59,751,746,144,125,123,0,0,0,0,0,No
Application Fee Received,875,Bahawalpur,Punjab,39,893,841,157,145,142,0,0,0,0,0,No
Challan Printed,801,Bahawalpur,Punjab,67,841,739,0,0,0,0,0,0,0,0,No
Application Fee Received,949,Bahawalpur,Punjab,57,719,897,154,163,177,166,0,0,0,0,No
Application Fee Received,1012,Bahawalpur,Punjab,58,864,959,0,0,0,0,0,0,1,0,No
Application Fee Received,997.727,Bahawalpur,Punjab,83,912,919,179,168,152,46,42,177,0,0,No
Application Fee Received,922,Bahawalpur,Punjab,51,723,876,180,148,128,161,0,0,0,0,No
Application Fee Received,847,Bahawalpur,Punjab,51,765,801,148,122,0,0,0,0,0,0,No
Application Fee Received,947,Bahawalpur,Punjab,53,814,899,170,170,162,0,0,0,0,0,No
Application Fee Received,1032.455,Bahawalpur,Punjab,74,885,963,178,181,182,179,0,0,0,0,No
Application Fee Received,1018,Bahawalpur,Punjab,62,913,961,166,185,177,0,0,0,1,0,No
Application Fee Received,943,Bahawalpur,Punjab,61,903,887,160,162,168,41,149,45,0,0,No
Admission Fee Challan Received,1038,Bahawalpur,Punjab,76,912,967,179,174,185,48,182,46,1,0,Yes
Application Fee Received,815,Bahawalpur,Punjab,41,877,779,146,46,127,174,101,0,0,0,No
Application Fee Received,1033,Bahawalpur,Punjab,73,826,965,172,179,170,0,0,0,0,0,No
Application Fee Received,1068.545,Bahawalpur,Punjab,72,913,1001,192,48,183,191,188,0,0,0,No
Application Fee Received,975,Bahawalpur,Punjab,50,980,930,180,0,161,0,193,0,0,0,No
Application Fee Received,1016,Bahawalpur,Punjab,62,896,959,183,188,166,0,0,0,0,0,No
Application Fee Received,909.727,Bahawalpur,Punjab,45,745,869,163,145,150,155,0,0,0,0,No
Application Fee Received,782,Bahawalpur,Punjab,60,836,727,115,42,123,141,141,0,0,0,No
Application Fee Received,921,Bahawalpur,Punjab,58,635,868,156,157,169,157,0,0,0,0,No
Challan Printed,964,Bahawalpur,Punjab,66,885,903,0,0,0,0,0,0,0,0,No
Application Fee Received,884,Bahawalpur,Punjab,54,930,835,143,154,145,43,165,0,0,0,No
Application Fee Received,983,Bahawalpur,Punjab,48,705,940,161,173,175,182,0,0,0,0,No
Challan Printed,979,Bahawalpur,Punjab,58,904,926,175,45,161,167,172,0,0,0,No
Application Fee Received,954,Bahawalpur,Punjab,58,774,901,174,159,171,0,0,0,0,0,No
Admission Fee Challan Received,1038,Bahawalpur,Punjab,63,958,980,186,193,178,0,0,0,1,0,Yes
Application Fee Received,794,Bahawalpur,Punjab,48,684,751,140,144,140,0,0,0,0,0,No
Application Fee Received,908,Bahawalpur,Punjab,59,809,854,0,0,0,0,0,0,0,0,No
Application Fee Received,1032.273,Bahawalpur,Punjab,70,924,952,172,182,173,176,0,0,0,0,No
Application Received,1008.818,Bahawalpur,Punjab,55,907,958,186,186,151,45,47,182,0,0,No
Application Fee Received,999,Bahawalpur,Punjab,71,895,933,183,166,177,0,0,0,0,0,No
Application Fee Received,1018.909,Bahawalpur,Punjab,73,963,950,166,171,179,179,50,46,1,0,No
