Application Status,Merit Score,ssc_obtained,Terminal Degree,Offered
Application Fee Received,851,825,851,No
Application Fee Received,746,865,746,No
Application Fee Received,640,672,640,No
Application Fee Received,734,697,734,No
Application Fee Received,752,780,752,No
Application Fee Received,694,680,694,No
Application Fee Received,705,651,705,No
Application Fee Received,710,593,710,No
Admission Fee Challan Received,892,827,892,Yes
Application Fee Received,790,836,790,No
Application Fee Received,879,925,879,No
Application Fee Received,720,721,720,No
Application Fee Received,737,851,737,No
Application Fee Received,748,793,748,No
Application Fee Received,663,500,663,No
Application Fee Received,758,882,738,No
Application Fee Received,827.079,917,832,No
Application Fee Received,548,769,553,No
Application Fee Received,633,678,633,No
Application Fee Received,800,718,800,No
Application Fee Received,858.077,947,863,No
Application Fee Received,758,761,758,No
Application Fee Received,505,670,530,No
Application Fee Received,752,720,757,No
Application Fee Received,766,905,766,No
Application Fee Received,914,908,919,Yes
Application Fee Received,702,746,702,No
Application Fee Received,800,823,800,No
Admission Fee Challan Received,913,848,913,Yes
Application Fee Received,848,661,848,No
Application Fee Received,787,820,787,No
Application Fee Received,648,850,648,No
Application Fee Received,806,880,806,No
Application Fee Received,785,629,785,No
Application Fee Received,772,749,752,No
Application Fee Received,749,697,749,No
Application Fee Received,683,691,683,No
Application Fee Received,797,778,797,No
Application Fee Received,766,905,766,No
Application Fee Received,879,878,879,No
Application Fee Received,800,820,800,No
Application Fee Received,762,614,762,No
Application Fee Received,734,790,739,No
Application Fee Received,641,828,641,No
Application Fee Received,733,814,733,No
Application Fee Received,912,888,912,Yes
Application Fee Received,914,908,919,Yes
Application Fee Received,826,794,826,No
Application Fee Received,536,680,541,No
Admission Fee Challan Received,902,868,902,Yes
Admission Fee Challan Received,905,900,905,Yes
Application Fee Received,614,720,614,No
Application Fee Received,736,760,736,No
Application Fee Received,786,605,786,No
Admission Fee Challan Received,760,861,760,No
Application Fee Received,782,594,782,No
Application Fee Received,605,727,605,No
Application Fee Received,858,847,858,No
Application Fee Received,803,685,803,No
Application Fee Received,896,920,896,Yes
Application Fee Received,690,827,690,No
Admission Fee Challan Received,959,903,959,Yes
Application Fee Received,797,886,797,No
Application Fee Received,858.077,947,863,No
Application Fee Received,675,657,675,No
Application Fee Received,581,686,581,No
Application Fee Received,916,882,916,Yes
Application Fee Received,808,791,808,No
Application Fee Received,757,763,757,No
Application Fee Received,790,840,770,No
Application Fee Received,604,508,604,No
Application Fee Received,696,696,696,No
Application Fee Received,731,814,731,No
Application Fee Received,793,841,793,No
Application Fee Received,883,887,883,No
Application Fee Received,736,712,736,No
Application Fee Received,847,848,852,No
Application Fee Received,703,728,703,No
Application Fee Received,696,708,696,No
Application Fee Received,812,766,812,No
Application Fee Received,858,727,863,No
Application Fee Received,907,837,912,Yes
