1`(147,Agriculture,54,785,748,109,145,163,127,134,31,Yes)++,,
1`(149,Agriculture,46,615,729,122,0,0,0,0,0,Yes)++,,
1`(150,Agriculture,53,840,854,166,144,164,0,156,0,Yes)++,,
1`(151,Agriculture,50,854,830,134,125,155,171,154,91,Yes)++,,
1`(152,Agriculture,54,819,837,138,121,45,174,155,158,Yes)++,,
1`(153,Agriculture,50,904,843,146,167,139,150,157,43,Yes)++,,
1`(154,Agriculture,50,892,730,0,0,0,0,0,0,Yes)++,,
1`(155,Agriculture,46,864,672,120,120,137,108,40,109,No)++,,
1`(156,Agriculture,52,868,729,153,115,106,116,148,49,Yes)++,,
1`(157,Agriculture,51,751,688,122,126,121,126,113,0,Yes)++,,
1`(160,Agriculture,42,746,798,142,129,46,134,150,152,Yes)++,,
1`(161,Agriculture,53,854,819,144,155,44,169,132,137,Yes)++,,
1`(162,Agriculture,57,878,757,142,132,43,123,153,126,Yes)++,,
1`(163,Agriculture,54,800,855,178,164,153,155,120,43,Yes)++,,
1`(164,Agriculture,48,764,898,163,156,171,171,0,0,Yes)++,,
1`(165,Agriculture,67,928,865,0,0,0,0,0,0,Yes)++,,
1`(166,Agriculture,40,728,742,0,0,0,0,0,0,Yes)++,,
1`(168,Agriculture,46,787,735,114,148,151,111,0,0,Yes)++,,
1`(169,Agriculture,52,738,794,114,129,160,161,141,48,Yes)++,,
1`(170,Agriculture,55,881,783,0,0,0,0,0,0,Yes)++,,
1`(171,Agriculture,51,731,717,126,113,127,142,0,0,Yes)++,,
1`(172,Agriculture,48,708,668,141,140,113,83,0,0,Yes)++,,
1`(173,Agriculture,44,681,819,148,157,124,167,150,0,Yes)++,,
1`(174,Agriculture,44,807,802,162,164,41,151,130,109,Yes)++,,
1`(175,Agriculture,48,740,730,131,112,44,129,136,138,Yes)++,,
1`(176,Agriculture,65,715,809,125,152,142,160,0,0,Yes)++,,
1`(177,Agriculture,58,823,877,160,166,47,158,151,149,Yes)++,,
1`(178,Agriculture,53,769,666,88,111,110,122,41,151,Yes)++,,
