1`(141,521,51,0)++
1`(142,708,63,0)++
1`(143,690,55,0)++
1`(144,609,67,0)++
1`(145,746,67,0)++
1`(146,688,59,0)++
1`(147,705,40,0)++
1`(148,678,52,0)++
1`(149,825,56,0)++
1`(150,560,47,0)++
1`(151,482,54,0)++
1`(152,827,39,0)++
1`(153,664,51,0)++
1`(154,834,53,0)++
1`(155,772,64,0)++
1`(156,825,56,1)++
1`(157,775,50,0)++
1`(158,791,57,0)++
1`(159,762,55,0)++
1`(160,805,50,1)++
1`(161,448,44,0)++
1`(162,574,40,0)++
1`(163,834,50,1)++
1`(164,744,62,0)++
1`(165,913,54,1)++
1`(166,496,43,0)++
1`(167,865,58,1)++
1`(168,539,44,0)++
1`(169,739,52,0)++
1`(170,791,62,1)++
1`(171,802,64,1)++
1`(172,830,42,0)++
1`(173,671,48,1)++
1`(174,726,58,0)++
1`(175,623,57,0)++
1`(176,609,48,0)++
1`(177,849,46,1)++
1`(178,508,49,0)++
1`(179,791,52,0)++
1`(180,730,41,0)++
1`(181,667,54,0)++
1`(182,672,50,0)++
1`(183,608,47,0)++
1`(184,535,44,0)++
1`(185,648,35,0)++
1`(186,721,54,0)++
1`(187,842,58,0)++
1`(188,652,54,0)++
1`(189,772,45,0)++
1`(190,710,52,0)++
1`(191,702,50,0)++
1`(192,902,47,1)++
1`(193,568,56,0)++
1`(194,569,53,0)++
1`(195,694,60,0)++
1`(196,851,57,0)++
1`(197,691,66,0)++
1`(198,680,49,0)++
1`(199,822,58,1)++
1`(200,826,46,0)++
1`(201,750,62,0)++
1`(202,853,53,1)++
1`(203,791,48,0)++
1`(204,626,50,0)++
1`(205,507,50,0)++
1`(206,924,68,1)++
1`(207,753,62,0)++
1`(208,583,50,0)++
1`(209,692,40,1)++
1`(210,750,54,0)++
1`(211,644,44,0)++
1`(212,670,60,0)++
1`(213,808,60,1)++
1`(214,817,56,1)++
1`(215,800,62,0)++
1`(216,800,53,1)++
1`(217,485,49,0)++
1`(218,710,51,0)++
1`(219,532,57,0)++
1`(220,721,46,1)++
1`(221,633,19,0)++
1`(222,786,40,0)++
1`(223,557,52,0)++
1`(224,587,49,0)++
1`(225,619,45,0)++
1`(226,533,20,0)++
1`(227,793,49,0)++
1`(228,782,59,0)++
1`(229,889,52,0)++
1`(230,598,42,1)++
1`(231,604,40,1)++
1`(232,812,52,1)++
1`(233,747,64,0)++
1`(234,635,70,0)++
1`(235,583,68,0)++
1`(236,744,71,1)++
1`(237,695,57,0)++
1`(239,685,47,0)++
1`(240,612,55,0)++
1`(241,648,64,0)++
1`(242,597,43,0)++
1`(243,770,46,0)++
1`(244,683,44,0)++
1`(245,460,42,0)++
1`(246,750,60,0)++
1`(247,671,47,0)++
1`(248,598,49,0)++
1`(249,511,31,1)++
1`(250,838,62,1)++
1`(251,662,58,1)++
1`(252,670,48,0)++
1`(253,682,63,1)++
1`(254,621,72,0)++
1`(255,683,38,0)++
1`(256,791,43,0)++
1`(257,913,66,1)++
1`(258,773,41,0)++
1`(259,667,55,0)++
1`(260,822,53,1)++
1`(261,628,41,0)++
1`(262,764,56,0)++
1`(263,590,51,0)++
1`(264,807,48,1)++
1`(265,707,62,1)++
1`(266,542,40,0)++
1`(267,489,0,0)++
1`(268,723,38,0)++
1`(269,830,56,1)++
1`(270,827,46,0)++
1`(271,583,41,0)++
1`(272,638,46,0)++
1`(273,566,47,0)++
1`(274,570,40,0)++
1`(275,622,50,0)++
1`(276,791,53,1)++
1`(277,938,67,1)++
1`(278,579,54,0)++
1`(279,698,45,1)++
1`(280,784,61,1)++
1`(281,811,52,1)++
1`(282,776,63,1)++
1`(283,622,48,0)++
1`(284,764,50,1)++
1`(285,668,49,0)++
1`(286,452,58,0)++
1`(287,643,56,1)++
1`(288,0,27,0)++
1`(289,738,62,0)++
1`(290,552,50,0)++
1`(291,728,46,0)++
1`(292,552,57,0)++
1`(293,741,47,0)++
1`(294,492,50,1)++
1`(295,750,56,0)++
1`(296,850,47,1)++
1`(297,824,57,1)++
1`(298,740,47,0)++
1`(299,589,52,1)++
1`(300,876,63,0)++
1`(301,799,44,0)++
1`(302,787,49,0)++
1`(303,857,47,1)++
1`(304,612,50,0)++
1`(305,642,59,0)++
1`(306,781,63,1)++
1`(307,574,47,0)++
1`(308,596,44,0)++
1`(309,736,52,0)++
1`(310,781,57,0)++
1`(311,782,45,0)++
1`(312,790,66,0)++
1`(313,704,51,0)++
1`(314,652,50,0)++
1`(315,645,45,0)++
1`(316,657,52,0)++
1`(317,674,44,0)++
1`(318,639,50,0)++
1`(319,622,55,0)++
1`(320,789,43,0)++
1`(321,734,55,0)++
1`(322,541,38,0)++
1`(323,780,50,0)++
1`(324,770,54,0)++
1`(325,745,52,0)++
