Application Status,SSC,Terminal Degree,Optional Subject 1,Optional Subject 2,Optional Subject 4,Offered
Complete,729,862,113,44,164,No
Complete,555,663,50,117,102,No
Complete,799,757,144,119,141,No
Complete,555,609,0,0,0,No
Complete,693,577,110,97,117,No
Complete,746,798,142,129,134,No
Complete,810,783,0,0,0,No
Complete,753,627,100,136,103,No
Complete,632,552,94,129,74,No
Complete,661,687,139,125,144,No
Complete,575,504,0,0,0,No
Complete,917,759,134,99,168,No
Complete,881,760,137,0,0,No
Complete,599,556,68,119,0,No
Complete,525,729,0,0,0,No
Complete,879,824,139,152,160,Yes
Complete,774,658,114,134,106,No
Complete,722,690,117,130,34,No
Complete,835,641,79,97,132,No
Complete,909,824,170,161,132,Yes
Complete,761,631,0,0,0,No
Complete,728,637,126,30,113,No
Complete,644,528,85,95,109,No
Complete,682,775,0,0,0,No
Complete,555,619,147,83,118,No
Complete,936,844,168,144,136,No
Complete,705,628,109,99,93,No
Complete,656,690,129,90,136,No
Complete,785,721,124,113,150,No
Complete,743,687,145,114,117,No
Complete,777,623,104,88,101,No
Complete,905,902,186,149,145,Yes
Complete,617,731,117,135,22,No
Complete,751,572,72,68,40,No
Complete,843,830,57,80,78,No
Complete,767,770,129,142,146,No
Complete,834,725,145,105,156,No
Complete,890,692,151,153,76,No
Complete,746,746,126,81,166,No
Complete,681,658,136,136,106,No
Complete,751,636,136,127,83,No
Complete,917,772,139,154,137,No
Complete,815,828,139,141,156,Yes
Complete,633,559,127,100,97,No
Complete,608,554,0,0,0,No
Complete,769,623,111,43,122,No
Complete,704,597,0,0,0,No
Complete,864,809,0,0,0,No
Complete,554,567,125,74,77,No
Complete,672,569,131,103,82,No
Complete,800,726,147,154,131,No
Complete,827,660,0,0,0,No
Complete,814,650,0,0,0,No
Complete,808,785,0,0,0,No
Complete,688,666,95,126,161,No
Complete,731,666,118,0,0,No
Complete,896,856,148,149,178,No
Complete,712,623,164,68,75,No
Complete,921,756,143,150,100,No
Complete,809,784,135,153,109,No
Complete,552,586,119,93,93,No
Complete,819,713,138,147,118,No
Complete,732,756,139,148,88,No
Complete,962,918,144,166,177,Yes
Complete,697,686,127,92,113,No
Complete,751,765,118,163,147,No
Complete,878,874,162,163,149,Yes
Complete,690,722,163,131,115,No
Complete,950,993,162,175,177,No
Complete,832,755,160,42,129,No
Complete,948,912,172,47,167,Yes
Complete,625,712,136,120,134,No
Complete,945,796,142,140,147,No
Complete,675,548,84,34,25,No
Complete,575,504,0,0,0,No
Complete,576,773,107,124,162,No
Complete,581,550,134,106,69,No
Complete,919,820,120,151,160,Yes
Complete,540,834,0,0,0,No
Complete,623,603,125,105,123,No
Complete,829,699,130,120,103,No
Complete,689,672,122,116,120,No
Complete,853,734,152,114,127,No
Complete,511,605,0,0,0,No
Complete,831,684,130,123,119,No
Complete,823,760,122,150,129,No
Complete,941,809,162,47,139,No
Complete,813,783,136,150,126,No
Complete,731,662,138,115,117,No
Complete,735,710,138,142,101,No
Complete,849,737,120,144,136,No
Complete,876,648,83,132,126,No
Complete,882,729,135,96,117,No
Complete,556,672,105,39,104,No
Complete,639,581,96,107,80,No
Complete,895,901,167,145,173,Yes
Complete,738,802,143,149,154,Yes
Complete,569,525,0,0,0,No
Complete,647,619,0,0,0,No
Complete,756,707,130,167,126,No
Complete,749,604,122,111,66,No
Complete,769,615,108,125,119,No
Complete,962,918,144,166,177,Yes
Complete,672,642,0,0,0,No
Complete,625,712,136,120,134,No
Complete,694,738,94,129,148,Yes
Complete,891,907,132,145,44,Yes
Complete,800,885,157,169,171,Yes
Complete,759,619,99,152,105,No
Complete,770,611,94,90,127,No
Complete,867,754,120,154,142,No
Complete,826,748,147,138,124,No
Complete,653,554,0,0,0,No
Complete,903,840,121,0,0,Yes
Complete,580,684,70,46,53,No
Complete,640,700,0,0,0,No
Complete,684,700,110,139,118,No
Complete,909,816,135,0,0,No
Complete,935,843,132,160,138,Yes
Complete,618,580,0,0,0,No
Complete,717,592,127,100,91,No
Complete,765,795,151,150,135,No
Complete,919,716,0,0,0,No
Complete,729,953,170,142,177,Yes
Complete,779,612,111,139,103,No
Complete,702,629,108,0,0,No
Complete,881,711,143,112,0,No
Complete,700,601,0,0,0,No
Complete,645,700,113,120,119,No
Complete,875,740,137,144,125,No
Complete,861,760,0,0,0,No
Complete,662,571,128,133,79,No
Complete,507,636,0,0,0,No
Complete,666,654,120,128,87,No
Complete,867,754,120,154,142,No
Complete,723,623,0,0,0,No
Complete,855,781,151,147,122,No
Complete,814,731,162,129,120,No
Complete,822,812,170,161,124,No
Complete,609,598,79,46,17,No
Complete,520,511,94,103,0,No
Complete,509,766,35,0,0,No
Complete,647,722,0,0,0,No
Complete,760,579,137,78,112,No
Complete,702,508,79,90,68,No
