Application Status,SSC,Terminal Degree,Offered
Complete,780,783,No
Complete,852,775,No
Complete,904,877,No
Complete,883,880,No
Complete,765,565,No
Complete,822,758,No
Complete,833,844,No
Complete,677,579,No
Complete,799,757,No
Complete,693,577,No
Complete,723,730,No
Complete,864,751,No
Complete,748,741,No
Complete,725,815,No
Complete,774,658,No
Complete,865,832,No
Complete,650,642,No
Complete,842,800,No
Complete,878,757,No
Complete,873,837,No
Complete,866,883,No
Complete,884,765,No
Complete,761,631,No
Complete,901,756,No
Complete,707,600,No
Complete,551,618,No
Complete,557,772,No
Complete,746,833,No
Complete,915,940,Yes
Complete,764,817,No
Complete,828,844,No
Complete,922,797,No
Complete,808,691,No
Complete,905,790,No
Complete,738,678,No
Complete,652,704,No
Complete,864,751,No
Complete,748,741,No
Complete,819,695,No
Complete,711,817,No
Complete,892,741,No
Complete,705,628,No
Complete,871,793,No
Complete,646,644,No
Complete,943,924,No
Complete,848,896,Yes
Complete,738,588,No
Complete,937,918,Yes
Complete,910,888,No
Complete,732,666,No
Complete,656,677,No
Complete,630,672,No
Complete,787,640,No
Complete,707,652,No
Complete,764,625,No
Complete,843,830,No
Complete,924,914,Yes
Complete,664,669,No
Complete,771,854,No
Complete,731,880,No
Complete,924,768,No
Complete,808,881,No
Complete,815,818,No
Complete,934,896,No
Complete,739,821,No
Complete,744,723,No
Complete,949,805,No
Complete,897,863,No
Complete,816,923,Yes
Complete,604,515,No
Complete,921,821,No
Complete,744,686,No
Complete,832,683,No
Complete,819,904,Yes
Complete,786,847,No
Complete,683,771,No
Complete,917,772,No
Complete,774,929,Yes
Complete,738,794,No
Complete,858,819,No
Complete,662,755,No
Complete,814,675,No
Complete,744,660,No
Complete,843,810,No
Complete,633,559,No
Complete,798,725,No
Complete,636,707,No
Complete,684,691,No
Complete,768,744,No
Complete,782,823,No
Complete,793,689,No
Complete,585,641,No
Complete,811,690,No
Complete,739,811,No
Complete,592,696,No
Complete,782,817,No
Complete,837,796,No
Complete,793,748,No
Complete,842,852,No
Complete,890,700,No
Complete,736,823,No
Complete,873,863,No
Complete,863,779,No
Complete,702,721,No
Complete,846,784,No
Complete,716,779,No
Complete,850,825,No
Complete,853,815,No
Complete,614,756,No
Complete,609,750,No
Complete,828,819,No
Complete,750,823,No
Complete,811,690,No
Complete,733,641,No
Complete,817,795,No
Complete,855,854,No
Complete,649,699,No
Complete,838,702,No
Complete,925,934,Yes
Complete,838,828,No
Complete,674,482,No
Complete,799,787,No
Complete,693,731,No
Complete,748,865,No
Complete,694,725,No
Complete,805,701,No
Complete,766,840,No
Complete,836,791,No
Complete,761,803,No
Complete,929,800,No
Complete,847,770,No
Complete,706,708,No
Complete,693,603,No
Complete,881,799,No
Complete,808,685,No
Complete,849,787,No
Complete,782,743,No
Complete,866,891,Yes
Complete,805,814,No
Complete,803,823,No
Complete,825,868,No
Complete,595,776,No
Complete,699,538,No
Complete,636,550,No
Complete,500,663,No
Complete,917,832,No
Complete,749,780,No
Complete,756,693,No
Complete,888,769,No
Complete,893,871,No
Complete,725,746,No
Complete,855,771,No
Complete,793,785,No
Complete,887,831,No
Complete,647,1100,Yes
Complete,714,602,No
Complete,680,811,No
Complete,770,736,No
Complete,756,828,No
Complete,736,762,No
Complete,698,830,No
Complete,882,878,No
Complete,854,659,No
Complete,777,733,No
Complete,615,730,No
Complete,751,708,No
Complete,798,760,No
Complete,793,491,No
Complete,801,709,No
Complete,790,808,No
Complete,871,823,No
Complete,634,569,No
Complete,846,705,No
Complete,872,801,No
Complete,882,738,No
Complete,768,862,No
Complete,815,749,No
Complete,874,864,No
Complete,823,942,Yes
Complete,683,619,No
Complete,840,796,No
Complete,869,863,No
Complete,645,976,Yes
Complete,786,803,No
Complete,644,731,No
Complete,853,821,No
Complete,769,553,No
Complete,870,831,No
Complete,731,662,No
Complete,798,816,No
Complete,908,880,No
Complete,882,729,No
Complete,806,659,No
Complete,851,709,No
Complete,825,851,No
Complete,865,746,No
Complete,672,640,No
Complete,697,734,No
Complete,780,752,No
Complete,680,694,No
Complete,651,705,No
Complete,593,710,No
Complete,827,892,Yes
Complete,836,790,No
Complete,925,879,No
Complete,721,720,No
Complete,851,737,No
Complete,793,748,No
Complete,500,663,No
Complete,882,738,No
Complete,917,832,No
Complete,769,553,No
Complete,678,633,No
Complete,718,800,No
Complete,947,863,No
Complete,761,758,No
Complete,670,530,No
Complete,720,757,No
Complete,905,766,No
Complete,908,919,Yes
Complete,746,702,No
Complete,823,800,No
Complete,848,913,Yes
Complete,661,848,No
Complete,820,787,No
Complete,850,648,No
Complete,880,806,No
Complete,629,785,No
Complete,749,752,No
Complete,697,749,No
Complete,691,683,No
Complete,778,797,No
Complete,905,766,No
Complete,878,879,No
Complete,820,800,No
Complete,614,762,No
Complete,790,739,No
Complete,828,641,No
Complete,814,733,No
Complete,888,912,Yes
Complete,908,919,Yes
Complete,794,826,No
Complete,680,541,No
Complete,868,902,Yes
Complete,900,905,Yes
Complete,720,614,No
Complete,760,736,No
Complete,605,786,No
Complete,861,760,No
Complete,594,782,No
Complete,727,605,No
Complete,847,858,No
Complete,685,803,No
Complete,920,896,Yes
Complete,827,690,No
Complete,903,959,Yes
Complete,886,797,No
Complete,947,863,No
Complete,657,675,No
Complete,686,581,No
Complete,882,916,Yes
Complete,791,808,No
Complete,763,757,No
Complete,840,770,No
Complete,508,604,No
Complete,696,696,No
Complete,814,731,No
Complete,841,793,No
Complete,887,883,No
Complete,712,736,No
Complete,848,852,No
Complete,728,703,No
Complete,708,696,No
Complete,766,812,No
