Application Status,Admission Test,SSC,Terminal Degree,Optional Subject 5,Offered
Complete,52,602,859,45,Yes
Complete,68,772,809,145,No
Complete,50,661,513,87,No
Complete,56,811,663,84,No
Complete,58,719,567,83,No
Complete,54,814,675,125,No
Complete,58,920,796,0,No
Complete,58,835,753,55,No
Complete,53,811,739,146,No
Complete,46,859,721,136,No
Complete,50,824,842,0,No
Complete,53,718,686,130,No
Complete,52,694,678,123,No
Complete,52,818,856,143,No
Complete,50,683,794,180,No
Complete,52,816,797,0,No
Complete,47,800,726,135,No
Complete,40,553,661,127,No
Complete,55,518,720,35,No
Complete,50,685,769,0,No
Complete,47,605,507,71,No
Complete,61,678,823,135,No
Complete,45,736,772,0,No
Complete,0,544,731,92,No
Complete,50,655,677,144,No
Complete,67,561,609,104,No
Complete,50,761,670,122,No
Complete,50,649,699,117,No
Complete,48,691,721,0,No
Complete,40,674,482,0,No
Complete,56,798,602,0,No
Complete,65,890,791,122,No
Complete,58,693,731,0,No
Complete,59,649,611,126,No
Complete,63,764,814,0,No
Complete,62,798,822,0,No
Complete,48,610,752,0,No
Complete,49,554,479,106,No
Complete,42,882,885,0,No
Complete,46,836,791,48,No
Complete,60,798,844,38,No
Complete,68,1002,1019,0,No
Complete,59,761,803,148,No
Complete,50,677,516,0,No
Complete,59,706,708,0,No
Complete,59,811,810,134,No
Complete,50,623,634,0,No
Complete,52,642,760,133,No
Complete,43,484,710,0,No
Complete,52,678,557,89,No
Complete,52,775,699,92,No
Complete,44,824,736,130,No
Complete,55,771,797,147,No
Complete,42,698,830,0,No
Complete,61,771,740,120,No
Complete,16,697,730,0,No
Complete,50,696,612,134,No
Complete,35,615,730,101,No
Complete,58,798,760,131,No
Complete,58,893,839,150,No
Complete,51,680,751,132,No
Complete,62,830,854,0,No
Complete,60,629,601,101,No
Complete,43,869,863,0,No
Complete,40,586,564,126,No
Complete,50,683,671,100,No
Complete,50,616,840,33,No
Complete,60,832,816,139,No
Complete,44,857,740,134,No
Complete,52,643,663,86,No
