Application Status,Admission Test,SSC,Terminal Degree,Optional Subject 1,Optional Subject 2,Optional Subject 4,Optional Subject 5,Offered
Complete,46,903,825,137,162,145,143,Yes
Complete,54,808,828,117,166,146,45,No
Complete,47,851,681,123,114,151,114,Yes
Complete,46,810,724,108,136,151,121,Yes
Complete,50,838,868,0,0,0,0,Yes
Complete,55,713,717,133,111,132,122,Yes
Complete,59,821,732,136,172,0,0,Yes
Complete,40,771,693,132,106,115,0,Yes
Complete,54,691,837,145,141,180,140,Yes
Complete,47,875,707,153,125,138,89,Yes
Complete,42,716,648,94,117,140,100,No
Complete,61,847,810,151,132,147,138,No
Complete,50,879,866,168,146,44,146,Yes
Complete,64,845,754,155,140,117,129,Yes
Complete,44,777,653,103,108,124,0,No
Complete,62,939,939,0,0,0,0,Yes
Complete,30,733,665,122,109,132,41,No
Complete,0,707,872,166,161,150,0,No
Complete,43,576,532,98,82,112,90,No
Complete,50,883,799,145,45,130,161,Yes
Complete,50,933,891,0,0,0,0,Yes
Complete,47,898,753,0,0,0,0,Yes
Complete,48,909,906,158,144,174,181,Yes
Complete,42,728,818,126,155,137,144,Yes
Complete,0,921,651,122,138,35,83,No
Complete,54,827,845,154,162,144,0,Yes
Complete,64,891,935,0,0,0,0,Yes
Complete,51,609,557,114,84,0,76,No
Complete,45,634,595,117,105,127,78,No
Complete,44,825,620,121,114,110,86,No
Complete,41,683,622,135,120,59,40,No
Complete,58,831,629,122,39,86,35,No
Complete,54,610,604,150,75,98,121,No
Complete,41,840,711,0,0,0,0,Yes
Complete,47,831,623,86,127,101,36,No
Complete,52,750,701,108,126,47,161,Yes
Complete,51,527,825,166,0,0,170,Yes
Complete,24,860,855,161,0,0,141,Yes
Complete,41,570,573,74,126,112,83,No
Complete,0,726,780,0,0,0,0,No
Complete,40,809,538,107,76,75,0,No
Complete,41,794,746,149,167,0,0,Yes
Complete,44,883,607,137,87,106,96,No
Complete,30,661,666,42,39,39,62,No
Complete,41,828,667,126,44,119,93,No
Complete,0,842,904,169,155,166,155,No
Complete,45,729,700,155,0,0,123,Yes
Complete,47,631,552,75,101,0,0,No
Complete,50,777,629,115,119,99,0,No
Complete,47,608,733,142,98,155,137,Yes
Complete,42,640,612,75,0,0,0,No
Complete,35,859,829,153,157,154,139,Yes
Complete,49,777,612,129,107,113,94,No
Complete,56,895,893,165,153,145,162,Yes
Complete,1,863,816,150,156,39,152,Yes
Complete,42,716,648,94,117,140,100,No
Complete,45,931,861,174,157,145,46,Yes
Complete,0,644,690,135,142,121,102,No
Complete,0,532,580,0,0,0,0,No
Complete,45,794,688,90,125,108,95,No
Complete,59,926,828,169,151,143,120,Yes
Complete,48,712,725,135,154,123,118,No
Complete,39,706,650,137,109,0,0,No
Complete,48,489,505,99,96,101,71,No
Complete,49,603,504,102,73,80,0,No
Complete,44,703,510,109,75,75,90,No
Complete,54,717,659,141,126,111,82,No
Complete,47,845,771,144,140,114,161,Yes
Complete,60,768,693,126,99,142,0,Yes
Complete,65,941,857,155,173,124,170,Yes
Complete,43,865,789,133,135,121,138,Yes
Complete,58,676,544,92,39,96,81,No
Complete,65,920,874,152,179,160,0,Yes
Complete,52,793,787,148,127,140,155,Yes
Complete,1,875,714,137,47,114,115,No
Complete,45,877,782,145,143,133,124,Yes
Complete,65,633,545,85,130,110,68,No
Complete,27,859,772,153,109,153,134,Yes
Complete,50,861,600,143,113,77,74,No
Complete,42,765,692,0,0,0,0,No
Complete,41,705,629,85,137,121,96,No
Complete,36,752,906,155,167,169,94,Yes
Complete,32,800,852,136,163,159,154,Yes
Complete,65,929,849,164,153,129,156,Yes
Complete,75,904,865,150,165,180,44,Yes
Complete,40,548,671,135,87,146,100,No
Complete,54,940,960,166,153,191,180,Yes
Complete,43,751,649,136,128,148,78,No
Complete,52,924,753,130,102,148,0,Yes
Complete,33,754,628,110,100,117,104,No
Complete,39,819,613,0,0,0,0,No
Complete,44,632,581,129,99,94,85,No
Complete,0,679,687,102,122,120,45,No
Complete,45,761,671,122,145,125,104,No
Complete,56,904,985,169,153,188,192,Yes
Complete,43,775,640,119,116,82,45,No
Complete,49,640,634,87,36,113,44,No
Complete,63,836,827,130,173,145,161,Yes
Complete,32,855,785,151,124,150,125,No
Complete,45,761,671,122,145,125,104,No
Complete,56,904,985,169,153,188,192,Yes
Complete,43,843,571,96,96,126,53,No
Complete,51,650,700,151,117,106,129,Yes
Complete,53,671,759,141,110,153,117,Yes
Complete,50,757,727,166,83,125,47,Yes
Complete,0,863,595,0,0,0,0,No
Complete,45,850,837,134,125,172,148,Yes
Complete,59,952,938,175,177,173,0,Yes
Complete,42,654,620,102,102,128,0,No
Complete,44,790,638,119,110,95,141,No
Complete,52,615,1100,118,0,0,0,Yes
Complete,43,654,546,120,64,98,105,No
Complete,50,722,843,0,0,0,0,Yes
