Application Status,Admission Test,SSC,Terminal Degree,Document Verified,Offered
Complete,52,710,657,0,No
Complete,44,791,674,0,No
Complete,50,564,639,0,No
Complete,55,614,622,0,No
NotComplete,43,862,789,0,No
Complete,55,795,734,0,No
NotComplete,38,638,541,0,No
Complete,50,735,780,0,No
Complete,54,722,770,0,No
Complete,52,752,745,0,No
Complete,82,961,972,1,Yes
Complete,52,786,803,1,No
Complete,49,684,691,0,No
Complete,71,729,634,0,No
Complete,50,604,755,0,No
Complete,42,508,724,1,No
Complete,40,588,832,0,No
Complete,55,814,771,0,No
Complete,57,741,598,0,No
Complete,50,756,828,0,No
Complete,50,575,652,0,No
NotComplete,51,666,742,0,No
NotComplete,43,684,620,0,No
Complete,53,878,810,1,No
Complete,58,753,705,0,No
Complete,40,510,523,1,No
Complete,40,546,743,0,No
Complete,50,715,654,0,No
Complete,56,752,684,0,No
Complete,49,714,769,0,No
Complete,55,553,811,1,No
Complete,50,651,724,0,No
Complete,53,808,661,0,No
Complete,46,586,517,0,No
Complete,51,960,845,1,Yes
Complete,46,545,564,0,No
Complete,52,765,735,0,No
Complete,47,655,560,0,No
Complete,55,758,864,1,Yes
Complete,56,739,704,0,No
Complete,57,801,711,0,No
NotComplete,50,742,754,0,No
NotComplete,46,512,518,0,No
Complete,53,717,615,0,No
Complete,57,602,645,1,No
NotComplete,30,565,570,0,No
NotComplete,55,732,742,0,No
Complete,61,832,920,1,Yes
Complete,58,896,695,0,No
Complete,61,951,735,0,No
Complete,52,789,623,0,No
Complete,57,602,763,0,No
Complete,61,918,907,1,Yes
Complete,48,748,753,0,No
Complete,41,542,619,0,No
Complete,57,885,814,0,No
Complete,53,777,802,0,No
Complete,52,553,754,0,No
Complete,85,850,868,1,Yes
Complete,50,648,644,0,No
Complete,63,772,703,1,No
Complete,50,906,761,0,No
Complete,63,710,604,0,No
NotComplete,28,682,758,0,No
Complete,46,830,624,0,No
Complete,53,726,727,0,No
Complete,52,743,662,0,No
Complete,51,735,773,1,No
Complete,63,592,562,0,No
NotComplete,50,658,646,0,No
Complete,54,607,783,0,No
Complete,54,828,846,1,Yes
Complete,47,555,531,0,No
NotComplete,54,700,737,0,No
Complete,46,868,802,0,No
Complete,56,838,828,0,No
NotComplete,54,838,693,0,No
NotComplete,43,803,894,0,No
Complete,43,580,614,0,No
Complete,56,833,637,0,No
Complete,40,686,618,0,No
Complete,62,910,874,1,Yes
Complete,56,810,782,0,No
Complete,50,725,867,1,Yes
Complete,55,577,705,0,No
Complete,48,675,652,0,No
Complete,59,924,854,1,Yes
Complete,54,762,662,0,No
Complete,47,780,745,0,No
Complete,34,518,720,0,No
Complete,50,910,760,0,No
Complete,54,851,813,1,No
Complete,45,729,529,0,No
Complete,52,756,792,0,No
NotComplete,41,830,657,0,No
Complete,50,761,686,0,No
Complete,65,834,814,1,Yes
Complete,52,641,575,0,No
Complete,51,544,731,0,No
Complete,42,511,595,0,No
Complete,47,738,812,0,No
Complete,60,578,552,0,No
Complete,61,841,685,0,No
NotComplete,45,771,724,0,No
Complete,42,584,571,0,No
Complete,40,818,642,0,No
Complete,40,834,777,0,No
Complete,50,863,752,0,No
Complete,47,800,726,0,No
Complete,48,724,666,0,No
Complete,65,636,618,0,No
Complete,59,760,756,0,No
NotComplete,43,603,626,0,No
Complete,50,860,855,1,No
NotComplete,53,687,801,0,No
NotComplete,41,808,880,0,No
Complete,52,551,697,0,No
Complete,50,756,643,0,No
Complete,53,903,859,1,Yes
Complete,52,877,897,1,Yes
Complete,50,666,649,0,No
Complete,51,705,664,0,No
Complete,41,902,588,0,No
Complete,51,680,751,0,No
NotComplete,53,583,552,0,No
Complete,28,526,824,0,No
Complete,55,898,749,0,No
Complete,53,800,767,0,No
Complete,48,764,589,0,No
Complete,40,473,583,1,No
Complete,53,798,731,0,No
Complete,58,840,782,1,No
Complete,59,649,873,1,Yes
Complete,54,701,765,0,No
Complete,52,557,600,0,No
Complete,50,661,513,0,No
Complete,57,747,633,0,No
Complete,53,509,662,0,No
Complete,40,530,859,1,No
NotComplete,53,844,865,0,No
NotComplete,53,730,800,0,No
NotComplete,51,734,627,0,No
NotComplete,50,634,709,0,No
NotComplete,44,876,678,0,No
Complete,49,835,770,0,No
Complete,52,582,635,0,No
NotComplete,43,817,754,0,No
Complete,53,770,616,0,No
NotComplete,45,792,604,0,No
NotComplete,47,739,754,0,No
Complete,59,832,894,0,No
Complete,49,872,807,0,No
NotComplete,55,513,666,0,No
Complete,50,642,531,0,No
Complete,41,783,840,1,No
NotComplete,0,518,484,0,No
NotComplete,54,756,581,0,No
NotComplete,51,700,794,0,No
Complete,24,511,859,0,No
Complete,50,826,626,0,No
NotComplete,43,753,608,0,No
Complete,46,756,589,0,No
NotComplete,68,879,775,0,No
