Application Status,Admission Test,ssc_obtained,Terminal Degree,hsc_opt_1_obtained,hsc_opt_2_obtained,hsc_opt_3_obtained,Document Verified,Offered
Complete,85,971,948,171,165,183,1,Yes
Complete,62,840,878,125,174,171,0,No
Complete,73,595,784,146,137,123,1,No
Complete,0,645,703,99,123,123,0,No
Complete,43,688,699,89,153,91,0,No
Complete,46,715,689,107,45,46,0,No
Complete,0,544,577,142,88,76,0,No
Complete,52,617,758,178,49,36,0,No
Complete,49,836,712,111,144,118,0,No
Complete,49,700,799,147,43,139,1,No
Complete,0,763,703,116,129,118,0,No
Complete,0,834,658,119,135,45,0,No
Complete,0,720,666,135,94,87,0,No
Complete,0,721,663,113,75,45,0,No
Complete,42,727,778,0,0,0,0,No
Complete,41,449,818,159,159,176,0,No
Complete,50,733,618,94,108,30,0,No
NotComplete,0,917,637,140,99,113,0,No
Complete,42,619,605,123,36,28,0,No
Complete,44,706,674,127,132,103,0,No
Complete,0,699,774,145,45,43,0,No
Complete,0,567,622,119,38,40,1,No
Complete,0,652,770,135,117,133,0,No
Complete,56,855,881,179,175,147,1,Yes
Complete,59,717,661,104,37,38,0,No
NotComplete,40,802,772,126,123,144,0,No
Complete,0,526,618,118,100,41,0,No
Complete,60,897,700,99,102,140,0,No
NotComplete,0,459,520,55,26,22,0,No
Complete,0,527,674,59,149,47,0,No
Complete,45,631,720,124,83,152,0,No
Complete,50,770,592,0,0,0,0,No
Complete,48,541,583,66,43,30,0,No
NotComplete,0,695,618,81,35,27,0,No
Complete,51,541,607,125,102,97,0,No
Complete,43,543,560,94,60,107,0,No
Complete,48,717,671,110,110,126,0,No
NotComplete,43,720,614,105,80,124,0,No
NotComplete,33,854,671,86,0,0,0,No
NotComplete,0,588,491,62,92,133,0,No
Complete,52,883,937,150,0,0,1,Yes
Complete,41,613,579,113,98,44,0,No
Complete,65,485,636,0,0,0,0,No
Complete,53,936,844,165,144,138,1,No
Complete,0,924,787,134,48,41,0,No
NotComplete,55,984,841,170,158,46,0,No
Complete,46,713,638,123,40,41,0,No
Complete,0,559,500,75,97,39,0,No
Complete,0,517,819,177,145,128,1,No
Complete,0,962,888,173,139,159,1,Yes
Complete,52,889,874,148,177,163,1,Yes
Complete,0,847,733,149,104,103,0,No
Complete,65,864,974,184,172,191,1,Yes
Complete,40,535,518,0,0,0,0,No
Complete,0,855,718,113,0,110,0,No
Complete,0,537,642,115,136,94,0,No
Complete,73,854,951,0,0,0,0,No
NotComplete,0,907,770,59,57,52,0,No
Complete,48,646,678,81,130,40,0,No
Complete,0,955,909,177,170,140,1,Yes
NotComplete,0,580,761,0,0,0,0,No
Complete,52,778,780,173,138,113,1,Yes
Complete,41,543,576,71,26,26,0,No
Complete,60,989,901,145,172,153,1,Yes
NotComplete,0,918,921,0,0,0,0,No
Complete,0,769,684,0,0,0,0,No
NotComplete,65,719,894,169,172,163,0,No
Complete,50,612,641,116,92,140,0,No
NotComplete,0,764,708,60,28,43,0,No
Complete,40,728,591,152,82,38,0,No
Complete,0,645,709,135,38,36,0,No
NotComplete,0,719,626,45,63,50,0,No
Complete,0,672,640,111,134,92,0,No
Complete,45,595,638,134,170,150,0,No
Complete,0,813,722,130,149,107,1,No
NotComplete,49,861,682,0,0,0,0,No
Complete,0,687,692,134,140,96,0,No
Complete,0,688,685,119,109,30,0,No
NotComplete,0,773,605,109,107,81,0,No
NotComplete,0,953,989,114,74,114,0,No
